logFC	logCPM	PValue	FDR
YHR092C	7.08692190300557	9.47005743681036	0	0
YHR094C	6.39030543691774	8.28314426624055	1.69133971924256e-228	4.80002212321038e-225
YOR047C	4.28896114515055	6.22935083679771	2.09790821260067e-168	3.96924233824047e-165
YDR345C	7.60445025507135	11.688627426311	3.87787842212177e-152	5.50270948099079e-149
YMR011W	3.40876679745703	8.33316580859366	2.82133085289011e-106	3.20277478420085e-103
YDR342C	3.53026568291784	9.55807510905711	2.355070899126e-99	2.2278970705732e-96
YGL209W	2.80912964287786	8.49056633047942	1.69284634271151e-95	1.37265654874722e-92
YKR075C	3.29152899503578	8.54516971671326	2.25419876281567e-90	1.59935402221772e-87
YOR062C	2.53171825545929	7.54552409394025	1.79170061956746e-89	1.12996585740721e-86
YOL136C	3.05679337138763	5.86289859598624	6.11896514413152e-86	3.47312461580905e-83
YNL234W	2.92143191170244	7.08029215214614	2.89274910778912e-84	1.49265853961919e-81
YGL157W	3.99309180932126	4.87927533606421	1.19399725863886e-79	5.64760703336179e-77
YFL054C	3.4254690142228	7.96042780330236	5.56659442260263e-73	2.4304607648225e-70
YGL253W	2.2662688241504	7.58107052186725	4.22245070663425e-69	1.71190215791829e-66
YJL216C	4.24965631754324	5.46414401997229	4.6511104457741e-55	1.75998019268092e-52
YIL162W	1.82765409341136	7.04547773824766	3.15119851158085e-52	1.1178876719833e-49
YDR119W-A	-1.98765092052667	7.94624374915754	5.18518861506852e-50	1.73124297524288e-47
YOR095C	2.33342721853267	5.94224738474369	1.90545017495609e-45	6.00851955169487e-43
YGR088W	-2.77626568447053	10.3511369536635	2.82002228733657e-44	8.42444552785389e-42
YNL142W	1.89255567577286	6.9253318778379	8.93125343524986e-44	2.53468972492391e-41
YDR277C	1.80136575440716	9.09096623366948	1.02059242249197e-42	2.75851551907829e-40
YDR222W	1.69449380009618	6.25876074399022	9.32897738110912e-41	2.40687616432615e-38
YGR248W	-2.09098407731102	7.19236579297624	1.77159077103908e-38	4.37197792018165e-36
YOL052C-A	-1.99518362258583	9.59693603130686	2.00629961073503e-38	4.74489857938834e-36
YJL045W	-2.68740651257308	6.91440346452594	1.9352600055149e-37	4.39381431652103e-35
YER028C	1.80624692000401	6.16474538398692	1.06758224144469e-36	2.33061415478463e-34
YNL065W	2.08464577302885	6.3710104721968	1.30417948459247e-35	2.74167509427662e-33
YDR070C	-2.37562359055145	8.99241083244578	3.08260202853026e-35	6.2488746835492e-33
YPL171C	-1.91988900963161	7.17090226580934	2.85236976449684e-34	5.58277613216691e-32
YER062C	1.76622825098361	6.75204012424537	1.10725415336801e-33	2.09492485817228e-31
YDL204W	-2.17534872918277	9.47884789516271	3.30204631897297e-32	6.04594029241631e-30
YLR164W	-2.54454759527068	6.85533522552969	5.59974296801013e-32	9.93254408950797e-30
YDR270W	1.64965357958326	7.56121610473637	8.53563210615262e-32	1.46812872225825e-29
YBR201C-A	-2.16205154594692	5.70521492090925	2.71830732803065e-30	4.53797423350057e-28
YJR115W	-1.90428823410348	6.18996192176678	3.94078002561554e-30	6.39081926439822e-28
YFL053W	2.40422453118252	5.49492193749303	7.44227779255461e-30	1.17339913195944e-27
YMR250W	-1.78290543134269	9.62777603500335	1.42282857491203e-29	2.18269594356775e-27
YPL026C	1.47788892618895	9.24040476925007	2.32493918376408e-29	3.47272494922234e-27
YGR236C	-2.14233768023367	9.86245094317439	3.46757391013335e-29	5.04665372151715e-27
YLL024C	1.71708348179185	7.25141218969709	1.68601610791883e-28	2.39245685713682e-26
YNL202W	-1.44944863880664	6.48149341259492	1.7759264050241e-28	2.4585751890041e-26
YPR192W	-1.85596525533186	7.02566875612328	1.93754769152127e-28	2.61845730882731e-26
YLR108C	1.67681345232611	5.81562195264676	1.16116933858703e-27	1.53274352693488e-25
YOL158C	1.81716785317521	6.49326397511602	1.30384294433397e-27	1.68195739819082e-25
YOR032C	-1.59237873904884	7.66302857941363	1.59782871431855e-27	2.01539461832713e-25
YJR073C	-1.56391202562499	8.06435378511658	2.32621078396049e-26	2.87034182820864e-24
YOR230W	-1.59728236757756	8.68884927901419	2.53196311663557e-25	3.057749500005e-23
YKL151C	-1.46892276175093	7.96649153937238	7.4476534196737e-25	8.80685016876415e-23
YNL145W	-1.55779892932413	4.69009041378485	1.04093327809603e-24	1.20578311968838e-22
YPL186C	-1.60021325031102	8.42517877732766	1.57251593915116e-24	1.7851200941244e-22
YBR230W-A	-1.25345881157905	6.45515296172237	2.01148995276658e-24	2.23866999449081e-22
YPL119C	-1.33805498783662	8.6331844786144	2.37227917167496e-24	2.58943395738982e-22
YGR140W	1.40916548077158	5.74849268036056	2.48339808136314e-24	2.6595787754372e-22
YDL223C	-1.94219319544682	12.0984524613929	2.70154014578858e-24	2.83961886435111e-22
YDL085W	-1.60142843413689	8.95385786185891	5.99012123104933e-24	6.18180511044291e-22
YPL196W	-1.29873227566318	7.37768152606128	1.64981759913464e-23	1.66349596593602e-21
YJL074C	1.34157578621416	6.257116912466	1.67052977551714e-23	1.66349596593602e-21
YJL163C	-1.34904771054191	8.08236983570731	2.23428864057181e-23	2.18652109032511e-21
YLR178C	-1.49414492799242	8.83977579038109	6.02800536267808e-23	5.79914549806115e-21
YAL055W	-1.42861890496764	6.91929023860818	6.16762212564745e-23	5.83457053086249e-21
YKR098C	1.74289977864393	7.22520201706235	7.08735720542412e-23	6.5947277865553e-21
YKL050C	-2.05291088728754	8.47681031850007	1.02372465019558e-22	9.3720340556615e-21
YBR072W	-1.91057437976136	12.1177740829108	1.25591380721393e-22	1.13151853488036e-20
YLR308W	2.53219905288991	4.47017328062297	1.7712958183796e-22	1.57091797892541e-20
YER145C	1.63926609895022	7.94127770051474	2.26706926499961e-22	1.97967463817504e-20
YDL022W	-1.57282430050636	8.44641293907365	2.95490257330147e-22	2.54121621303926e-20
YHL047C	1.73696997084804	8.21504138688453	6.76685534489414e-22	5.73263745337599e-20
YLL057C	-1.8399106772865	7.24060408271211	1.31953835209499e-21	1.10142642448399e-19
YDL184C	-1.8170063798995	6.37073501684775	1.93251616191497e-21	1.58970459927962e-19
YER075C	1.199242994618	6.45806410240558	1.99802412487988e-21	1.62011213325974e-19
YMR170C	-1.25984650503969	6.95866751849863	2.50345046395105e-21	2.00134997653327e-19
YIL087C	-1.61920747187231	6.15645432594149	4.77738155187725e-21	3.76616912339656e-19
YDR461C-A	-1.23952096796289	6.81108503154548	8.1220607239315e-21	6.31518036562126e-19
YBR105C	1.23823184956074	8.234050812608	1.42830590705764e-20	1.09554923357556e-18
YNL233W	1.19457295030837	6.08413954763744	1.45342159659684e-20	1.09994946430449e-18
YGR138C	1.97178152282047	8.04227235314921	1.66267485814787e-20	1.24175559142728e-18
YER121W	-1.73938095994767	5.5152096707064	1.7368151503817e-20	1.28028088228137e-18
YDR268W	1.45210282071936	4.69213537940886	2.63210016584589e-20	1.9153590437617e-18
YIR036C	-1.13133435309643	6.05299294523935	2.88231121275178e-20	2.07088587893406e-18
YPL058C	1.3814989279207	7.69759452206789	3.18476744715822e-20	2.25959250375875e-18
YDR034W-B	-2.3372809452315	6.04124860689449	4.52225415667747e-20	3.16892772756807e-18
YLR168C	1.15368592182708	7.08779306481237	5.85721212657992e-20	4.05433366225215e-18
YGL032C	-1.6823919054958	3.90628127203484	7.80172857624853e-20	5.33525438539599e-18
YMR206W	-1.31636878078294	8.85319415179384	1.2885714454927e-19	8.70706133882923e-18
YGL035C	1.26627988607368	7.85312085923613	6.46644446629424e-19	4.31806338713954e-17
YDR155C	-1.33884946337292	8.70228334034678	1.09385829466981e-18	7.21946474482075e-17
YDR218C	1.83304135983058	3.87107546531282	1.29015158274606e-18	8.41712687777772e-17
YDR533C	-1.34122565537309	8.57792088210699	1.30925581910385e-18	8.44470003321982e-17
YGR143W	-1.24919428408548	7.46407976915709	1.74174086019196e-18	1.11080012611793e-16
YMR323W	-3.43868237543143	4.68654530585892	1.97446460663648e-18	1.24522901191874e-16
YBR130C	1.40842299664494	4.8036066471135	2.08317670510984e-18	1.29935285474763e-16
YMR174C	-1.69892819553924	8.49009416314044	2.17515324697304e-18	1.34197498150206e-16
YBL009W	1.58738750287672	4.08352949287421	2.40986504436297e-18	1.47079505288217e-16
YPL230W	-1.31224497006016	8.7670428843672	3.20896691050734e-18	1.93766980681273e-16
YNL066W	1.22131540351573	5.37262038394526	3.65601435177261e-18	2.18437236428014e-16
YEL033W	-1.14643429900171	5.85345399863851	5.06049370127293e-18	2.99201690087762e-16
YOR176W	-1.14046436202438	6.32136027131728	7.49223944344753e-18	4.38411866814517e-16
YPR145W	1.20988036913667	6.79678114995908	1.07000144880542e-17	6.19727369736691e-16
YNL195C	-1.32114088633226	9.93148344292412	1.1573765600254e-17	6.63562561081231e-16
YDR180W	1.25289446751265	5.00106480810023	1.24387137961995e-17	7.06021395072286e-16
YDL130W-A	-1.14726985081307	9.01339605233281	1.45176529032008e-17	8.15863345332354e-16
YMR118C	-2.36012875020243	7.99126849754799	1.54139442502759e-17	8.57740662397704e-16
YBR241C	-1.1544583229591	8.90162199681459	1.71694568708303e-17	9.46153759211966e-16
YBR084W	1.30758646130967	5.30722261692332	1.76221063294231e-17	9.61760341594285e-16
YLR307C-A	1.75274783758001	10.3896897336728	1.95149693124401e-17	1.05492348397533e-15
YOL155C	-1.29739606778117	8.93195469300033	2.03671716345697e-17	1.09060439809262e-15
YIL101C	-1.22395245551786	9.01382066441831	2.10841190833898e-17	1.11844355062917e-15
YIR014W	-1.09156914612831	5.36098051645291	3.2634692205887e-17	1.71513437926495e-15
YEL038W	-0.976926544358444	6.27535058162823	3.77778670574404e-17	1.96722177447735e-15
YMR169C	-1.43577856802025	8.51736918437415	4.00288421944845e-17	2.0654882572354e-15
YCR023C	-1.05834576621637	8.18608471438125	4.29887914893821e-17	2.1982376621057e-15
YOR028C	-1.20511388845902	6.07659516491128	4.35357923540136e-17	2.20633176251233e-15
YPL223C	-2.59830189070349	13.0484892582044	5.51240238123574e-17	2.76888459432691e-15
YKL152C	-2.72338981593847	7.32773734594191	6.31521665667731e-17	3.14431313537723e-15
YPR074C	1.31633486707917	6.7598218756582	6.72761519301658e-17	3.32051685526627e-15
YPR160W	-1.19876303174391	8.2787400990673	1.15066574929996e-16	5.63032654571256e-15
YJL214W	1.8668414072816	3.82493569614964	1.4838597649191e-16	7.19862224417162e-15
YFL014W	-1.77963898448537	13.5265674509068	1.76650850906485e-16	8.49720533682382e-15
YMR182C	-1.15361545000932	6.66030001188081	1.88577542191088e-16	8.99467335694636e-15
YLR356W	-1.35523149523953	7.23928157197535	2.22530763993452e-16	1.05257051368903e-14
YHR087W	-1.11005278682729	9.29096042866165	2.36270788369769e-16	1.10832478908001e-14
YNL200C	-1.39170547248241	8.36751796976426	2.92691224316099e-16	1.36173392558867e-14
YJL052W	-2.2489582873175	9.99747224364222	2.96202394312918e-16	1.36686568302449e-14
