logFC	logCPM	PValue	FDR
YHR094C	-3.79436606661331	9.97518442342541	8.06037672445772e-28	4.41547436965794e-24
YEL033W	-1.90291735570491	6.86135106356191	2.33611488126906e-17	6.39861865979596e-14
YLR076C	-4.36561290243377	6.03680067296488	1.16244503200052e-16	2.12262462843294e-13
YPL142C	1.77191230109357	4.46312165367429	1.66610097817193e-14	2.28172528960646e-11
YCR013C	-4.37797344204948	7.69138765962911	3.92486770260236e-12	4.30008505497114e-09
YDR040C	2.21069364768277	3.68827374284807	2.25025228286798e-10	2.05448033425847e-07
YPR044C	-4.23217831841969	5.4574467295247	7.79114488516008e-10	6.0971273829867e-07
YBR269C	-1.16698251046699	5.69154243852166	1.06431390967229e-07	7.28788949648103e-05
YDR385W	1.47152541131886	7.85582078436419	4.09813868830683e-07	0.000249440041494942
YJL138C	0.97516176976956	7.84043061379197	6.6665112940238e-07	0.000365191488686624
YLR343W	1.09732420758921	4.78750259952221	7.64342651272386e-07	0.000376330229480473
YBR230W-A	-1.102617502551	5.44810572696754	8.24381663703118e-07	0.000376330229480473
YOR133W	1.41629137387655	7.64257702713139	1.92208136334763e-06	0.00080993551603218
YHL034W-A	-2.20783921404022	3.38956813825083	2.27603143567803e-06	0.000890578586046018
YDR157W	-1.60668566095399	3.45805441864504	3.78188480983105e-06	0.0013811443325503
YJL151C	-1.11597713388533	7.09451974850962	1.15641494116971e-05	0.00379063360547361
YPR037C	-0.998807147872088	5.16006551569975	1.17635581038794e-05	0.00379063360547361
YLR099W-A	-0.940079127480033	5.59411351059551	1.61368437521533e-05	0.004910979448572
YML059C	1.06486468481994	5.90822623425457	1.86106911972436e-05	0.00534951095019312
YCR047C	-1.00001074307323	6.98176654958348	1.96350040221814e-05	0.00534951095019312
YER062C	-1.12014730447193	6.92008726239826	2.05074351869397e-05	0.00534951095019312
YMR076C	1.0553975070926	5.73779101539094	2.26019075723841e-05	0.00562787498552365
YDL183C	1.15000693722001	5.27616701810678	3.04088341365454e-05	0.00698109787055003
YDR322C-A	-1.05529064258791	7.36068631081189	3.05853137811611e-05	0.00698109787055003
YJL188C	-1.47224219540392	8.55795579658704	3.41967466171979e-05	0.00742686918078456
YOL086W-A	-1.12848188159257	6.77195225114882	3.52498354692221e-05	0.00742686918078456
YBR264C	-0.825037545580151	5.72463303222398	3.69124385842957e-05	0.0074891236505471
YBR297W	1.11740957491059	4.36190365862375	3.98093225501245e-05	0.00774404177041142
YLR228C	0.784980775436938	5.50712456401209	4.35655487121056e-05	0.00774404177041142
YDL035C	0.715128002497497	6.34061390209192	4.4222523042906e-05	0.00774404177041142
YGL166W	-1.48031102231529	4.31450026695203	4.62883036031171e-05	0.00774404177041142
YER111C	0.950350180860125	5.12421645719356	4.63389102781621e-05	0.00774404177041142
YJR153W	1.1262481947204	2.48562401906676	4.6650854038623e-05	0.00774404177041142
YLR084C	0.840588855552349	6.18779455534184	5.30844142554213e-05	0.00855283592032936
YDL173W	-0.793431575158243	6.29124418048834	5.82077044835285e-05	0.00911033729030769
YPL016W	1.191145517526	4.93200552916574	6.15388585438741e-05	0.00936416297509284
YCR083W	-0.762253154545683	5.37251777212399	7.6643750056818e-05	0.0112656476180786
YHR154W	0.770407130890782	6.16373587884148	7.81924048123833e-05	0.0112656476180786
YIL159W	0.82040757415453	5.26031751181652	8.02045011144695e-05	0.0112656476180786
YIL128W	0.840351751193175	5.77234074049848	9.14658493879644e-05	0.0125262480736817
YML103C	0.854513103956525	7.22214374510689	0.000105047004958786	0.0138974876558509
YDL228C	1.16478493457796	3.33396534242177	0.000108603601689921	0.0138974876558509
YDR008C	-1.61672704062564	2.65704571080567	0.000109089443081706	0.0138974876558509
YER028C	-1.06661227296024	5.08906185332756	0.000126757448366315	0.0157813023216062
YPR196W	0.826837958002081	3.69405128483532	0.000139979200521169	0.017040134676777
YDR303C	0.737691044179544	6.18228095432212	0.000149951599888444	0.0178572796562803
YBL063W	0.850348592681864	4.96821743780894	0.000161502216800518	0.0188235988007072
YPR052C	-0.85176725009611	6.16466386384113	0.000178017405315578	0.0203162363816404
YLR318W	0.753481966194996	4.89913545223997	0.00019013230100528	0.0212560152021821
YNL250W	0.781731071042118	5.36417144981253	0.000226209281812233	0.0247834889153482
YKR064W	0.722003441278951	5.75835059853046	0.000235052198513881	0.0252473714403734
YGR098C	1.02479187130749	5.82376337946489	0.000256723410996936	0.0270448239507926
YML002W	0.745314293348488	5.0036947484414	0.000266462275696741	0.0272517665822519
YDR461W	-1.49082627605425	7.57793831047466	0.000270141955073973	0.0272517665822519
YIL119C	1.05702602245248	3.30593723253514	0.000273612114279638	0.0272517665822519
YOR203W	-1.29314050660701	3.13448861226816	0.000279506210833949	0.0273416968383638
YFL014W	-1.73797257609979	5.48947617981411	0.000293879390747665	0.0282433561844861
YJL030W	-0.861080161557586	5.61633456337642	0.00034209919978641	0.0322426166742659
YPL127C	-0.743972203481196	6.47686722261767	0.000347264400106186	0.0322426166742659
YBL035C	0.643206782872191	5.41227242882349	0.000363707833787127	0.0332065252247647
YNL208W	-1.14081407508778	9.52657440786176	0.000383221988149392	0.0344145910013504
YHR211W	1.24948747887617	3.91899047632593	0.000424489586609855	0.0371894338720495
YIL026C	0.829726482522521	5.60151679512964	0.000440110134817606	0.0371894338720495
YOR030W	0.782886362425826	4.8309983227503	0.000441171506921331	0.0371894338720495
YER155C	0.916586284333871	7.34243662773115	0.000442157081335992	0.0371894338720495
YBL034C	1.08790664474389	5.08242769612267	0.000448065468337945	0.0371894338720495
