logFC	logCPM	PValue	FDR
YML123C	4.8625937106758	9.10154726991487	3.60084578310832e-274	1.9512983298664e-270
YFL026W	-6.02497023317497	8.50776637566914	5.22656490533473e-206	1.41613776110045e-202
YHR092C	7.05422704073024	10.7719838134273	2.01921572395646e-155	3.64737666937335e-152
YLR040C	4.04070524699288	6.24006478302816	3.07148441946174e-154	4.16109351726579e-151
YIL162W	4.83940705646179	8.54250066126131	7.99212636239681e-150	8.66186655156566e-147
YIL015W	-4.8847738839132	6.8068483501084	1.06175651021929e-142	9.58943088146385e-140
YKL178C	4.01944379089878	6.15055217575457	6.03438291918031e-135	4.6714744341483e-132
YFR053C	5.6167817709761	7.93269655980096	2.00533520931086e-126	1.35836393740695e-123
YBR093C	3.74075710358988	6.37314612768749	2.7877551491568e-89	1.67853835036452e-86
YKL209C	-3.54668261917623	7.18348472066781	6.93128989341298e-88	3.75606599324049e-85
YBR297W	3.23421978870544	6.04901072761962	5.31266180687167e-75	2.61721039376705e-72
YKR098C	2.02227039344934	5.65063087698161	3.07103550353971e-71	1.38682844947347e-68
YPR030W	3.74250734201269	4.79085395879548	2.09919086482139e-69	8.7503963818978e-67
YGR233C	2.17782938348651	6.54763522189355	3.72842261737849e-58	1.44316586882672e-55
YGR097W	3.12651292014008	7.55204773350159	9.55938711067297e-55	3.45348791684912e-52
YGL187C	-2.27374601410861	6.71361406667398	1.38232413045048e-52	4.68175903931946e-50
YPL019C	2.54003911319975	8.42227307541137	2.32321854884904e-52	7.40560077424291e-50
YKL216W	-2.94451340594459	9.64616101186926	3.47427729175946e-49	1.0459504802247e-46
YBR006W	-2.51951281060195	6.69592348856394	1.20741458871301e-46	3.443673503282e-44
YJL012C	2.3560142515793	7.96967095425597	1.02904790500218e-45	2.7882052986034e-43
YDR277C	3.67922542434435	7.36745255821554	2.09880349380462e-42	5.41591244425107e-40
YBL015W	-1.91616179206078	5.36044505546058	8.38534066615148e-42	2.06546186681249e-39
YGR108W	-2.60652481774135	6.41224603420379	1.45010270363906e-41	3.4165680656609e-39
YJL133C-A	-2.64548975851763	7.70660427329541	2.32091696360966e-41	5.24043709408366e-39
YHR137W	2.23695529166288	3.51323637642976	3.33232682431233e-41	7.22315162437941e-39
YLR076C	-4.69505921796406	5.71997630299833	2.18733961607214e-39	4.55892053057498e-37
YBR230W-A	-2.48663169602261	5.06329839123722	2.81590115397999e-38	5.63639128881997e-36
YMR181C	2.03938971156324	6.20663194484469	2.91232618724781e-38	5.63639128881997e-36
YDR155C	-2.07635053722189	9.59720195984476	3.62698862944722e-38	6.77746599412913e-36
YKL109W	2.48258420557674	7.49694782636755	2.89771312816081e-36	5.23423581383448e-34
YFL054C	2.61384722046468	5.40143585054063	2.15930577066418e-35	3.77460579717071e-33
YOL136C	1.46499071815229	7.2602948385112	3.15624160176167e-35	5.34489788748328e-33
YBR269C	-1.67715283981087	5.43383973823319	9.50082689721623e-35	1.56015093806105e-32
YOL126C	-3.37848698106877	7.09702767972098	7.98472225050265e-34	1.27262381986688e-31
YPL017C	1.81225692380586	5.02755868987038	3.80964192264342e-32	5.89841416537277e-30
YNL144C	2.02503011067729	5.14048189115788	4.52362856643878e-32	6.64157129992153e-30
YMR104C	1.80309239502481	5.4705762309988	4.5347506568942e-32	6.64157129992153e-30
YFL004W	1.67450030659078	7.95273275986098	7.60190903703163e-32	1.08407223872827e-29
YMR256C	-2.19372126620252	6.16587362795827	8.64081690938055e-32	1.20063043158803e-29
YHR001W-A	-1.57064082184481	5.24176871276008	2.37380951636424e-31	3.21591844229445e-29
YDL228C	2.44366487435076	4.39329046036615	3.18348395769889e-31	4.20763404067568e-29
YDL181W	-2.08640310064833	4.88653498265966	6.55895155294365e-31	8.46260915842896e-29
YDR298C	-1.55579855908918	7.39347862168245	8.78222872353929e-31	1.10676505704324e-28
YMR182C	2.37357553480739	5.60365443150939	1.61665700337504e-30	1.99106006847485e-28
YJL188C	-2.8735601771396	8.22244529120413	1.76955687585826e-30	2.13093971339464e-28
YDR009W	1.61645526474379	4.12715590038274	1.84126546552432e-30	2.16909077340789e-28
YBR056W	-1.95268138965351	5.52316601899446	3.97210755920747e-30	4.57975550283943e-28
YBR264C	-1.44410505589335	5.46144105661613	4.19375162385444e-30	4.73457084368067e-28
YMR184W	-2.49689042728397	6.25517252534129	6.4200017580925e-30	7.09999786267413e-28
YDR461C-A	-3.12475017374689	4.06813630550659	8.0198772156038e-30	8.6919429262714e-28
YDR322C-A	-1.9294214194836	7.06863039287787	2.03234686886093e-29	2.15946817301125e-27
YOR309C	1.48838196145437	5.95698040031876	2.89043881186804e-29	3.01217075413709e-27
YJR148W	-1.64275787650822	8.62706590844499	3.40300653379409e-29	3.47941366162834e-27
YPL061W	-3.13053546069161	8.26737299016059	7.53441293631545e-29	7.56092290775804e-27
YJL166W	-1.99085567406889	6.99290363715448	1.42824682193764e-28	1.4072126414691e-26
YMR251W-A	-3.42087545598636	8.57002941920053	2.86819298781236e-28	2.77548889302771e-26
YOL086W-A	-2.08709040617504	6.46250760693152	5.55495007662117e-28	5.28110078337019e-26
YGL126W	-1.95788888767651	7.02149577115487	8.66314112837889e-28	8.09406237494573e-26
YGR288W	1.4944229420078	4.2990744593354	1.59212623157812e-27	1.46232746591896e-25
YCR013C	-4.72047120111375	7.39605706232237	3.96848593082365e-27	3.58420420985556e-25
YBL003C	-2.13572095765172	9.98883895129383	4.12769951849261e-27	3.6668858509363e-25
YJL138C	1.49408441343056	8.28658973204579	7.8693502226509e-27	6.87806594460407e-25
YDL184C	-3.49880033509928	7.03706597879107	1.06863368768114e-26	9.1919459580065e-25
YDR377W	-1.82094576545028	7.44754527015696	1.55346661768314e-26	1.31534931269139e-24
YIL070C	1.12481662844598	5.83135378274402	5.94656608920989e-26	4.95760640575821e-24
YBR191W-A	3.02784121194689	5.73939507446854	6.22263523710482e-26	5.10916065907137e-24
YPL018W	1.48530871243536	4.02387448044022	9.08184910165682e-26	7.34545377341467e-24
YKL151C	-1.60261482889305	5.8247712063497	1.11890294008332e-25	8.91666916516402e-24
YKL096W-A	-2.86275189059173	9.14972578086939	1.87284469079508e-25	1.47086164919109e-23
YIR029W	-1.67509799564733	4.01998440848587	2.56458596581678e-25	1.98535590696588e-23
YDR519W	-2.32460356683418	7.24534868116855	4.38576689868843e-25	3.34739025690036e-23
YBR111C	-1.58592392735672	7.31898421359188	4.58985613114817e-25	3.45450421870721e-23
YAL037C-A	4.74482705459309	6.81012481201311	5.78361327871131e-25	4.29334251470364e-23
YCR005C	-2.26919397872915	9.57638420811296	1.74779274550942e-24	1.27990390377237e-22
YLR231C	-1.1851782740009	6.40734999182932	2.07608153834211e-24	1.49855882575345e-22
YGL166W	-2.71016018230607	3.91103980496901	2.124831865564e-24	1.49855882575345e-22
YKL001C	-2.01985347034082	5.53988348570297	2.12934175277756e-24	1.49855882575345e-22
YDR096W	1.8976623318483	4.8579697633371	6.76233670512427e-24	4.69809007757287e-22
YGL251C	1.53686851656496	4.15005954172815	7.01514633199105e-24	4.81203518646323e-22
YLR099W-A	-1.23707700434205	5.38698937811924	7.16017435253658e-24	4.85012310204947e-22
YJR004C	2.14776089990103	5.71116769979721	1.15863303988642e-23	7.75139807795617e-22
YER045C	1.98287263960473	5.53915806368601	2.2951248661934e-23	1.5167416646222e-21
YML066C	-1.99729918066103	3.0375923257031	3.09660878950796e-23	2.02174976269201e-21
YKR099W	1.36323860868668	7.48968194793077	4.00226613646004e-23	2.58193811827106e-21
YMR081C	2.45696980874646	5.18687653732288	5.19004048130864e-23	3.30880345508371e-21
YPL142C	1.3347373250843	4.49775926415792	5.51500735967051e-23	3.47509591651797e-21
YMR090W	-1.62665113033413	4.81415994635549	7.60408137222235e-23	4.73638125931873e-21
YMR122W-A	-1.72405636482854	8.60803744181607	9.30450985785729e-23	5.72967487724189e-21
YGR023W	1.98241400198463	3.86540759165262	1.02440514698637e-22	6.237361226426e-21
YDR345C	1.35612525300093	11.5905858408773	1.17080692538977e-22	7.0495585874302e-21
YHR048W	2.17009409106423	5.6272649676251	1.25252356605097e-22	7.4587090158574e-21
YDL079C	1.45618509949973	5.63603259556187	2.4647767166934e-22	1.45180706823495e-20
YBR053C	-1.46210750858555	5.88189845600996	2.53404005291733e-22	1.47655516631817e-20
YMR226C	-1.46834799946312	8.31684173082699	2.6944027823511e-22	1.55329454016602e-20
YDR157W	-2.23065921318748	3.07291621125196	3.38558146817573e-22	1.93120694484677e-20
YBR298C	1.74945814300761	5.29216136967805	5.77894076963852e-22	3.23440313152792e-20
YPL078C	-1.59301889679686	8.02987733271686	5.7895756368003e-22	3.23440313152792e-20
YMR145C	1.79226733114823	8.92098650429955	6.48254964651035e-22	3.5845853606571e-20
YHR071W	2.10119366364257	9.91945334268768	9.35033876143598e-22	5.11812987355773e-20
YNL125C	1.46794533275816	5.84121763503463	1.21609726343301e-21	6.59003107054346e-20
YGL224C	2.01532258698795	7.20127866926811	1.54817351900715e-21	8.3064874252473e-20
YOR036W	-1.32746161806019	5.51507585923167	9.21436886342423e-21	4.89535930106823e-19
YDR040C	1.57824054446214	3.61740220358904	9.90624879233022e-21	5.21184099083859e-19
YHR047C	1.71280955493734	7.34044750752912	1.03407390346422e-20	5.38812161814674e-19
YKL093W	1.39466391171088	4.75171260657879	1.18759998892581e-20	6.12914699046568e-19
YEL024W	-1.55141772194669	5.54011328005056	1.38151846244998e-20	7.06268730944945e-19
YLR343W	1.51331220055175	5.21652513646893	1.46973043556188e-20	7.44342918720544e-19
YNR068C	1.97544452809912	4.15887020719334	2.25057694859189e-20	1.12924782263143e-18
YNL289W	-1.4370614048969	6.12396381443634	2.57492985618532e-20	1.28014173308883e-18
YJR085C	-1.64199160970218	7.48681272764736	2.83056240124652e-20	1.3944379683959e-18
YDL194W	1.49549775329706	4.98589213604906	3.551087570927e-20	1.73363455377058e-18
YMR241W	-1.41158391452273	9.42648021954713	4.13643396941717e-20	1.99792671422755e-18
YNL117W	-2.01856452752577	3.39503544308154	4.16618783369097e-20	1.99792671422755e-18
YIL124W	-1.32182408477782	6.4679174312048	4.52541533006845e-20	2.15116014681061e-18
YAL008W	-1.54655503909954	4.9942946616094	7.54079796247762e-20	3.55335514423184e-18
YCL057C-A	-1.28422577614793	6.60844548392289	7.96865085367763e-20	3.7201075179723e-18
YNL208W	-1.95547494736975	9.24928924970552	8.03197231228564e-20	3.7201075179723e-18
YKL029C	1.94093577987737	8.98434204843756	9.11386225828901e-20	4.18542538793798e-18
YOL012C	-1.23671154759176	6.11460165269001	9.26699303021093e-20	4.21998615384143e-18
YNL015W	-2.94974513219471	6.78357556637065	1.14011947816845e-19	5.1485895434957e-18
YBL095W	-1.83817646825841	3.64357485032234	2.15897754283145e-19	9.66900768975507e-18
YGL242C	-1.02179479830294	5.89177644009423	2.7594361534595e-19	1.22568725537681e-17
YHR094C	-1.78087885164667	9.87007443292832	3.15706269568609e-19	1.39090428844902e-17
YDR320C-A	-2.2671201573992	6.57631003849688	4.36000755783311e-19	1.90539362547561e-17
YBL078C	-1.48351956533776	3.49099930139823	6.03628665074667e-19	2.6168509888317e-17
YPL016W	1.85519965760674	5.54575951291469	7.01646478532027e-19	3.01763671997227e-17
YML012W	-1.32785946289032	8.83835353142229	7.49108779173899e-19	3.19639407428611e-17
YML035C	1.09491058346849	6.7217247232629	8.67400947677438e-19	3.67222323083128e-17
YGL157W	-1.93341892990344	6.62797632429188	8.98577297151345e-19	3.77472121958383e-17
YFL036W	1.41362883509119	6.7710156753377	9.47333734946379e-19	3.9489242382111e-17
YOL143C	-2.08561664766844	8.59822130382782	1.06956433187432e-18	4.42440390414271e-17
YKL018C-A	-1.78015079915309	5.23543608544708	1.40934870464748e-18	5.78580350794295e-17
YPL271W	-1.5713032974901	6.85655477152391	1.50790773217887e-18	6.14387368471977e-17
YOL151W	-2.32203340291116	6.16351528142461	1.52488022837007e-18	6.16666116234136e-17
YMR011W	4.42421589956075	10.7401694902835	1.53669202055728e-18	6.16839559955547e-17
YEL073C	-1.9764652456529	6.45460013169028	1.58712690777099e-18	6.32400052441985e-17
YJL035C	-1.90502601055807	5.63789630720626	1.65723023336605e-18	6.55513185008073e-17
YMR056C	-1.77648478643712	4.54938141401502	2.09123385006897e-18	8.21188132864042e-17
YNR069C	1.64367771508908	3.7464310977708	2.41746838949832e-18	9.42464834726001e-17
YMR257C	1.121490743769	4.39831506204179	2.64290180779366e-18	1.0229917783167e-16
YCR083W	-0.988039688874414	5.1920934465198	3.1214414028952e-18	1.1996518412971e-16
YML052W	-1.17077629817044	6.74267466439724	3.16835442717814e-18	1.20910652400552e-16
YPL234C	-1.37171230763614	8.16035924466219	5.08878349797949e-18	1.92839984444412e-16
YDL227C	-1.90448823034542	6.45849469732214	5.75392411040356e-18	2.16531352460256e-16
YDL004W	-1.24736155954421	7.60989229885519	5.81431914181564e-18	2.17295140893096e-16
YBR105C	1.79469368582075	6.89489953576842	6.90272876293722e-18	2.56204706618882e-16
YKL058W	-1.57989239499126	6.67605265862949	7.02811818115192e-18	2.59084166147362e-16
YEL053C	1.2176920712443	6.30645276562941	8.71570614436592e-18	3.1912440267783e-16
YMR304C-A	-1.29933095687188	5.2160810296914	1.03813041992898e-17	3.77558976214439e-16
YOL077W-A	-2.18027735824261	6.18653763090227	1.15497868108146e-17	4.17255298185363e-16
YCL034W	-1.19207465145093	6.49723587567546	1.4491203002774e-17	5.20051848159156e-16
YFL014W	-2.92437157420393	5.13552473597598	1.65172462372393e-17	5.88861561576314e-16
YMR097C	1.43873624195681	7.47059875146385	1.93240326943088e-17	6.84424399806924e-16
YJR144W	-1.17452953358661	6.92981465965782	2.65052936619194e-17	9.32676534765852e-16
YML081C-A	-1.78416870826158	7.12287528465304	2.74788633694341e-17	9.60696519993314e-16
