logFC	logCPM	PValue	FDR
YEL033W	-2.66389901565866	6.83209642529161	6.34018257944562e-28	3.45730156057169e-24
YOL126C	-3.85205451313449	7.37128343305902	1.30435642645076e-18	3.556327796718e-15
YKL216W	-2.75596158184409	9.91866917226638	7.03446269399115e-17	1.10236970679548e-13
YCR013C	-5.73553257722386	7.69429448385066	8.08633564493293e-17	1.10236970679548e-13
YHR094C	-2.46324869658058	10.0352350364462	1.45885217150201e-14	1.59102417824009e-11
YLR099W-A	-1.66932183424342	5.52634091699033	5.10669811711945e-14	4.64113747210873e-11
YFL010W-A	-1.62625319109496	5.74907363790312	1.43157959423045e-13	1.11520050390552e-10
YJL188C	-2.60873186435925	8.49795852653151	2.16103458886891e-12	1.47301520163777e-09
YBR297W	1.92994778577796	4.75448509017184	2.9002939706762e-12	1.75725589134415e-09
YJL138C	1.44129478920766	8.04393333121085	2.50771858944534e-11	1.34328508194901e-08
YBR269C	-1.69420213814901	5.65248379942417	2.70972600429839e-11	1.34328508194901e-08
YLR198C	-2.58037928771083	4.20191061372563	1.55018406421535e-10	7.04429475180527e-08
YPR044C	-4.15063153181506	5.46709930646044	9.80639115394073e-10	4.1134039201876e-07
YBR230W-A	-2.25693001254762	5.36006152887504	2.11819838307318e-09	8.25038270207005e-07
YPR037C	-1.29016494574308	5.13219985588963	7.06905334981418e-09	2.56983652776912e-06
YDR524W-C	1.55136088165383	9.69204060358058	1.35410651904723e-08	4.61496428022783e-06
YDL094C	-2.21778837311942	4.07852418022901	2.22652861408149e-08	7.14191796034492e-06
YDR510C-A	-2.11325558301203	4.89075673752301	2.39082058394305e-08	7.24285813568969e-06
YGR243W	1.86661515127126	4.51912594981935	3.75367340691528e-08	1.07260975814505e-05
YPR001W	2.00421260813275	4.4232482595387	3.93401708470585e-08	1.07260975814505e-05
YGR144W	-2.18739645832075	3.47334628157308	4.27527750249516e-08	1.11014705814791e-05
YPL134C	1.10494283120043	5.51175569102054	8.38786336941595e-08	2.07904631606478e-05
YCL057C-A	-1.16502622019143	6.79988194500728	9.53405358636764e-08	2.23067934958019e-05
YOR100C	2.39950997147145	4.70538067762506	9.89097720675631e-08	2.23067934958019e-05
YBR264C	-1.18258818960749	5.6923467097609	1.02268446248863e-07	2.23067934958019e-05
YJR085C	-1.52390208582206	7.69968703297452	1.2852596909741e-07	2.69558503649298e-05
YPR002W	1.8682396466562	7.32267025149419	1.3954986551762e-07	2.81839043210216e-05
YMR304C-A	-1.18565468544029	5.42330478378423	1.88158752401596e-07	3.66439170302108e-05
YDR277C	1.78790056757929	5.62186680075072	2.12793192522467e-07	3.99894153857357e-05
YDL183C	1.33389149605614	5.36972035632423	2.20004119121964e-07	3.99894153857357e-05
YFR035C	-1.31294142831788	4.65395563393629	3.01568489668727e-07	5.30468701343087e-05
YNL170W	-1.7657826431254	3.93663398454309	3.35784878832161e-07	5.7219842008493e-05
YHR041C	-1.13616908938267	6.11474911411514	3.79267130304828e-07	6.26710200470373e-05
YDL184C	-2.54502635447191	7.36208200572794	4.34581543776999e-07	6.96992105357639e-05
YBR016W	-1.25421127430167	6.01722664750343	6.0088458183531e-07	9.36178178499413e-05
YOL143C	-1.80881099684561	8.84504934845571	6.31888493286495e-07	9.57135542747572e-05
YGL166W	-2.01294696327303	4.27322284276054	6.96558596897193e-07	0.000102657676456227
YOR045W	-1.71537465718879	6.86997987358543	7.61351353251248e-07	0.000109253919191554
YNL208W	-1.6330989957407	9.4942028537023	8.55653130730164e-07	0.000118350803527485
YLR137W	-1.22383902747882	5.35473334594358	8.8586226748341e-07	0.000118350803527485
YDR274C	-1.04777782962513	5.04913459504541	8.8985566562019e-07	0.000118350803527485
YJL009W	-1.49610029513039	4.46436129337419	1.2203379344878e-06	0.000155860665775153
YFR053C	1.77764086819066	4.40898003391046	1.22904981264104e-06	0.000155860665775153
YNL148C	-1.0498468242587	4.93456063758869	2.1347709436777e-06	0.000264566044451693
YKR049C	-1.27837543260725	4.94372995720653	2.27241522604306e-06	0.000275366227280284
YHR063W-A	-1.73786718798569	5.0114339896737	2.75160160872696e-06	0.000326184425486698
YDR322C-A	-1.27682165758105	7.35085259067224	3.12931847751186e-06	0.000363067524635578
YER146W	-2.35483397334984	5.31337378813512	3.49907301657747e-06	0.000393941264385629
YIL020C-A	-1.71555562119267	3.79517913627101	3.53990866585289e-06	0.000393941264385629
YGR181W	-1.12462685798747	5.07807965542351	3.62919165335057e-06	0.000395799641714414
YNR041C	-1.02654816868687	5.582792237047	3.70932987165005e-06	0.000396607368433484
YLR089C	1.28378907028917	8.3388320479762	4.5036157146399e-06	0.000472273394075603
