logFC	logCPM	PValue	FDR
YPL142C	2.25550850064521	5.06229244561876	3.94032022908405e-44	2.15062678103407e-40
YFR053C	2.3116888459325	5.01827335712864	5.86073723109177e-26	1.59939519036494e-22
YKR098C	1.16249660078624	5.07677234738274	1.3104907862213e-20	2.38421957039862e-17
YHR092C	3.19807493886205	7.13885371718877	3.30231819753441e-20	4.5060131805357e-17
YFL010W-A	-1.25752754311207	5.61087828815467	3.84344045396523e-18	4.19549959954845e-15
YLR297W	1.77098443928737	5.13013525258506	4.42275479181869e-17	3.67047917265031e-14
YBR230W-A	-1.61817915257425	5.20197538388374	4.70746687587984e-17	3.67047917265031e-14
YDR155C	-1.30510179491881	9.70798087332566	6.86134038902865e-17	4.39514367165917e-14
YOL136C	1.00474666335142	6.98133210672189	7.60233262156342e-17	4.39514367165917e-14
YDR524W-C	1.66393576062135	9.98309449876959	8.05266337790247e-17	4.39514367165917e-14
YDR385W	1.80737414427307	8.29256217826165	9.72282615364794e-17	4.82428955878277e-14
YPR030W	1.69389496694087	3.16935728878752	1.31191447015133e-16	5.96702431507163e-14
YMR181C	1.31734815783919	5.71352379273283	9.98576707376253e-16	4.19248589912276e-13
YBR264C	-1.10270062355829	5.54064443946657	2.16419975578974e-15	8.43728733364314e-13
YOL086W-A	-1.54725934809276	6.54809333320537	5.8930605303183e-15	2.14428829163182e-12
YBR269C	-1.13205817433214	5.54734792443837	8.10059217211961e-15	2.7633145047143e-12
YJL188C	-1.79696100516691	8.33100063126593	1.06809670504644e-14	3.42921871537851e-12
YJR085C	-1.38248748913605	7.52939970883636	1.56279375623254e-14	4.58672154679453e-12
YAL037C-A	3.38513355564711	5.5754678159833	1.59669676418278e-14	4.58672154679453e-12
YDL228C	1.63298412723063	3.77150826444109	3.87347688000162e-14	1.05707184055244e-11
YDL173W	-1.01246665369604	6.12474182014874	4.34931980558704e-14	1.13040892851877e-11
YBR016W	-1.17151480979536	5.8610735595564	9.54802144601751e-14	2.36877732056198e-11
YDR461C-A	-1.97543085684019	4.24550162298418	1.53592041748873e-13	3.64480592984934e-11
YKL109W	1.4631292698503	6.77682658008602	4.79350411975239e-13	1.09012272856702e-10
YDR322C-A	-1.23004890115383	7.18508938343461	1.08551341396031e-12	2.36989288535815e-10
YDR345C	0.988559190437098	11.3742143272181	1.1675401173292e-12	2.45093613860876e-10
YOR309C	1.06797748007124	5.68920805554848	1.648333228048e-12	3.33207509580961e-10
YGL126W	-1.36679205648999	7.11414164470211	1.78502608453864e-12	3.47952584621854e-10
YDR519W	-1.49660524517841	7.35930030661119	2.56297775363643e-12	4.82370088943022e-10
YLR343W	1.12496238652407	4.95579059451249	2.88963042858987e-12	5.25720095974783e-10
YCL033C	-1.42768075529397	5.596238224335	3.21649321884555e-12	5.66310322208355e-10
YDR320C-A	-1.85947056326894	6.63480835488163	3.60938767688844e-12	6.15626185639284e-10
YPL206C	-0.957444729179589	6.80207522494548	5.20821500651295e-12	8.61407197137809e-10
YNL138W-A	-1.61988735022602	4.80427146843263	5.6805645506759e-12	9.11897685811443e-10
YOR125C	-1.16667926514322	5.07097271222853	1.02262074765351e-11	1.59470401162652e-09
YBR191W-A	2.47703958110738	5.29663371651597	1.0821631919894e-11	1.6406796394106e-09
YPR065W	1.42980900628502	6.79249629375938	1.14287886559239e-11	1.68590076983873e-09
YOR133W	1.48854745198003	7.89846869989275	3.3052003822623e-11	4.74731149641780e-09
YDL039C	1.51681272356834	8.19935705997651	3.99432782332037e-11	5.59001057940579e-09
YMR226C	-1.05520099517865	8.39223078537802	6.68636396970192e-11	9.12354363665827e-09
YLR099W-A	-0.959079388415589	5.46280182239625	8.16627812858476e-11	1.08711087867843e-08
YJL138C	1.01071788001323	7.99687543979215	9.99703489624435e-11	1.29913848723099e-08
YML129C	-1.45368164014133	4.97114352723003	1.19929440900449e-10	1.52226718240617e-08
YBR238C	1.37667044590515	6.12536213046202	1.42320121177751e-10	1.76541641224583e-08
YCL057C-A	-0.864297644466755	6.70034499879449	1.67855441203955e-10	2.03589999575819e-08
YGL166W	-1.99578002519353	4.06069080235215	1.86851406172616e-10	2.217032554109e-08
YDR216W	2.39918329290606	5.21288291904108	2.33372174949388e-10	2.71009644866757e-08
YJL035C	-1.45109757754082	5.72558317863141	2.816328437085e-10	3.20240012700207e-08
YCR083W	-0.940716491726875	5.21844199568063	2.89534183383052e-10	3.22505627123408e-08
YMR010W	0.799233864065133	6.21894927584393	3.02852972177868e-10	3.30594304429361e-08
YIL159W	0.953448446552107	5.43844018021926	3.32922192553213e-10	3.56292024893223e-08
YLR218C	-1.3369194569854	3.67769082416403	4.08444808583377e-10	4.27221381906371e-08
YOR045W	-1.44980761077194	6.70405921114308	4.14854035196732e-10	4.27221381906371e-08
YJL133C-A	-1.26478005651139	7.88799910100288	4.94080397473403e-10	4.99387186927747e-08
