logFC	logCPM	PValue	FDR
YGR142W	3.05250178621948	5.93312693559918	6.19168304509237e-29	3.44814828781194e-25
YHR209W	2.47391394110186	4.94624196531236	1.19033337965648e-25	3.31448329565346e-22
YKL148C	2.99830029530899	5.15583299767928	3.66546787333209e-23	6.80433019552881e-20
YDR171W	2.5983085257333	6.55298028497688	1.21872901909249e-22	1.69677547683152e-19
YHR092C	4.44090721109784	7.47099287386749	3.77400727439076e-22	4.20348930221643e-19
YPR030W	3.52484465383701	4.55505979590593	1.41070419356641e-21	1.30936860899522e-18
YJL116C	2.6102060128561	6.42642087937773	5.96202729194907e-20	4.74321856983777e-17
YIL162W	2.66652143603826	6.14314864488604	3.0506926176897e-18	2.12366339848924e-15
YDR085C	2.06834975619426	5.30893816822116	1.52731516039406e-16	9.45068680914947e-14
YGR289C	3.08623471789291	3.52841061616089	8.14768431783954e-16	4.53744539660484e-13
YPL240C	3.15625874123309	8.64954652968949	1.15758887695916e-15	5.86055677798688e-13
YML058W-A	3.71294778995457	3.80186230012113	1.34054205590504e-15	6.22123225777932e-13
YFL054C	2.30949771407739	4.90965307303509	1.75732207244897e-15	7.52809740112946e-13
YOL154W	-6.38935571396503	11.76164834866	7.13783720174195e-15	2.83932966975007e-12
YBR284W	2.91207812013731	3.14303923984101	4.80536533838822e-14	1.78407197129893e-11
YDR277C	3.57991277862693	5.06124161731707	8.35039929858089e-14	2.90646085586231e-11
YIL101C	2.39019196428742	4.48404445204326	1.07007711822342e-12	3.50544674787426e-10
YGR146C	1.91198134673669	6.56177793779262	1.3304434324505e-12	4.1162441529538e-10
YHR097C	1.78427914671979	5.84848517764372	2.12778262067371e-12	6.23664284975363e-10
YER103W	2.00728008394109	7.30475001069937	5.5388760811861e-12	1.54230004480627e-09
YGR180C	2.19174681003995	8.68331468238883	8.8919164785554e-12	2.32825801412444e-09
YDR342C	2.19903636704103	2.65611196246752	9.19764343881086e-12	2.32825801412444e-09
YJL026W	2.31048200895708	7.78138659417232	2.55627349415785e-11	6.18951612563699e-09
YGL258W	-5.58711593127026	7.15906411019668	3.04221448079566e-11	7.05920518481294e-09
YMR104C	2.42898213567877	5.79114741911271	3.17625721321889e-11	7.0754305681664e-09
YBR203W	2.23068460222172	5.072930085027	4.55712680351669e-11	9.76101506491709e-09
YBR298C	2.75286404132189	4.45331446391605	5.32451190329871e-11	1.0982298810915e-08
YBR297W	2.03174183308721	4.85917299997815	4.18862544774919e-10	8.33087682804116e-08
YDL234C	1.59598700426929	7.0812634895051	4.49642992345768e-10	8.63469594611581e-08
YFR026C	3.40922065643373	5.28356220413307	9.15992560277514e-10	1.70038752272849e-07
YDR077W	2.35723053360025	10.351885634259	1.10458589508814e-09	1.96179111773109e-07
YKL161C	1.62371914812073	5.29659400593842	1.12726370564545e-09	1.96179111773109e-07
YGL036W	1.65157353921189	5.64573986659647	1.17635746657615e-09	1.98519234283714e-07
YCR013C	-4.0163563200945	7.88747428669343	1.45064665354256e-09	2.3307278560348e-07
YBR012C	-2.73422996846081	6.55060937846056	1.46481370014757e-09	2.3307278560348e-07
YKR091W	1.79299825790681	5.15796635709624	3.28836806342995e-09	5.0869227070115e-07
YJR161C	1.80776763520222	3.06415727400815	3.55637062663901e-09	5.35281838371693e-07
YDR216W	3.76269783880771	5.85204250967097	9.31776716263205e-09	1.36554329812363e-06
YBL075C	1.48003984426067	5.88406586339478	9.95200828446301e-09	1.4210957470814e-06
YGR067C	2.06386199892644	2.67322853706477	1.07306363334702e-08	1.49397284352739e-06
YFL055W	1.76962015247268	3.51297464553184	1.69705969870732e-08	2.30510377124416e-06
YLL041C	1.77152621688885	5.52359193289707	1.81135801739166e-08	2.40177447591765e-06
YIL155C	2.12041239586217	5.76231873674179	1.99502409366081e-08	2.58378818083653e-06
YPR078C	2.1543327797621	3.22423624184237	3.19500971469926e-08	4.04386570480913e-06
YOR208W	1.75136448380813	6.24378383303833	3.38609094375777e-08	4.19047565906379e-06
YLR273C	1.99211478790848	4.27759613205485	4.00136837466412e-08	4.82234479827447e-06
