logFC	logCPM	PValue	FDR
YLR076C	-4.55133227939641	6.15976423519349	5.03978254115848e-135	2.71997063746323e-131
YDL214C	2.34922098461895	4.14233529758918	7.38403067118811e-55	1.44131128055286e-51
YGR146C	2.3928439293771	6.5050790252828	8.01173585632497e-55	1.44131128055286e-51
YML123C	3.65054819514933	8.40478944965086	1.27496021985777e-41	1.7202400766431e-38
YPL088W	1.58221631043391	5.72367983621212	1.22541077509041e-36	1.32270839063258e-33
YOR208W	1.90440719292442	5.74385831095875	3.3988800711149e-32	3.05729262396785e-29
YDL215C	1.91021190271433	7.31348090903913	2.20899033992894e-28	1.70313155208521e-25
YDL234C	1.53173103577752	6.31861232682311	1.87826902007729e-27	1.26712723766964e-24
YHR030C	1.27494698267457	7.56100368796567	3.09827467124199e-26	1.85793204452145e-23
YGR142W	1.90951340478836	6.02084429845583	4.22089534683882e-26	2.27801721868891e-23
YOR152C	1.72586491979132	4.43116569054932	7.70005209987966e-26	3.500513850378e-23
YKL163W	2.11062554311761	4.9869350990426	7.78324369177987e-26	3.500513850378e-23
YJL108C	1.37124933804774	5.31844977489091	7.24536840037096e-25	3.00794255821555e-22
YDR043C	1.65442672978575	5.40900695116801	1.16407441416459e-24	4.48750686660449e-22
YKR091W	2.48534182494598	4.21454860005072	1.46332113323052e-24	5.26502943736341e-22
YMR104C	1.59353348147041	5.05324850829016	2.00018565989773e-24	6.74687625404253e-22
YOR027W	1.3417959947705	7.68267415033473	3.95899271651647e-24	1.25686374653173e-21
YIL117C	1.57713122636573	6.64923752745684	8.26021597424615e-24	2.47668808961147e-21
YGR161C	1.7411604923804	6.21073689571817	1.44413520863057e-23	4.10210406367326e-21
YPL189W	1.38976172989305	3.61462357832398	4.90163988984521e-23	1.32270752427473e-20
YNR006W	0.98157074026482	5.960620381354	8.18475066849797e-22	2.10348092180398e-19
YNR060W	1.56908325458932	6.05627446457958	9.25090892787605e-22	2.18646113849526e-19
YBR296C	5.47458844683276	7.61962217773199	9.31788144995201e-22	2.18646113849526e-19
YMR196W	1.37844045969581	4.79063075251105	1.13703629695809e-21	2.5569103727845e-19
YOR385W	1.53727310070303	6.7070804853112	1.67993679536603e-20	3.62664755383618e-18
YMR186W	1.42257768616231	9.97937729478839	1.77178540151862e-20	3.67781761999845e-18
YNL336W	1.22904657062728	4.31157797729228	2.01534569354933e-20	4.02845211410583e-18
YHL036W	1.31053409191531	5.36599443729918	1.1367441275487e-19	2.19107430585012e-17
YDR214W	0.954422680336807	6.77541457040642	1.61602887383284e-19	3.0074854593365e-17
YDR040C	1.63040975250589	4.37658365555709	3.5709866005431e-19	6.42420489437704e-17
