logFC	logCPM	PValue	FDR
YKR075C	5.25832231074679	6.84118293547141	4.62219355226213e-144	2.51123775694402e-140
YDR277C	4.7725393953623	6.4320759750175	5.65669662919736e-140	1.53664163932146e-136
YHR092C	7.76841337080104	10.4630651048808	1.27385347695537e-107	2.30694864676618e-104
YIL162W	4.19473210825675	6.69503460116377	5.140510213375e-98	6.9820979973166e-95
YBR297W	3.78658682488572	5.23965164633606	2.66900437714783e-77	2.90014015620883e-74
YNL144C	3.60565966964158	4.59939638210087	7.35640311945714e-69	6.66122302466844e-66
YDR342C	6.63284128612665	7.09283325967223	1.22996610338618e-64	9.54629405671016e-62
YBR298C	2.45164112761648	5.16331169985898	4.27679850492748e-51	2.90448078465888e-48
YKR098C	2.60331795523349	4.65815888899622	4.83828547250028e-50	2.920711663566e-47
YMR011W	4.35127821690237	9.72787015982821	4.40402430714903e-44	2.39270640607407e-41
YMR081C	2.18737636953915	4.5105804522017	2.31610051627733e-29	1.14394310044861e-26
YDL194W	1.83177922066149	4.54522048666279	2.38695404499811e-27	1.0806934438729e-24
YGR289C	1.99503962712401	3.59375439153087	3.33570382445907e-27	1.39406760602201e-24
YFR053C	5.11658462650869	7.34740222375157	7.88512198155429e-27	3.05999055184175e-24
YFR052C-A	2.94695488287249	3.46817106592684	1.58266284136897e-26	5.73240481143842e-24
YPR044C	-3.92610406015714	5.77637922128802	3.09142832673697e-24	1.04973313119762e-21
YER098W	1.96408488604146	4.70969914025228	4.16210790381944e-23	1.33016072008535e-20
YPR030W	3.37960266879959	4.22333239389817	9.32557212677286e-21	2.81476852026428e-18
YKR058W	1.68298567970179	4.08387290503878	1.32953759016102e-20	3.79364318126335e-18
YHR043C	1.96605845984221	5.72121352068513	1.39651874885454e-20	3.79364318126335e-18
YDL184C	-3.26349828993505	7.32921172038207	7.63401622857609e-20	1.97502905570733e-17
YFL054C	2.30190244320636	3.9595222115232	3.60889464705822e-18	8.91232937157606e-16
YLL061W	1.65722932172556	4.02184438230731	6.04637401110088e-18	1.42825869575265e-15
YLR198C	-1.82057985387601	4.42831299479858	5.35988443957934e-17	1.21334384000977e-14
YBR083W	1.65012368540282	5.60956188076732	6.28073438580979e-17	1.36492919672418e-14
YBR203W	2.40258256877009	3.2646492102924	1.76449547214849e-16	3.68711688468567e-14
YJL138C	1.23232457911333	8.32150077323845	7.90764043167261e-16	1.59119298019545e-13
YDR216W	3.08126407344843	5.27040941436559	9.89584663150216e-16	1.87172090686802e-13
YMR104C	1.68819296240743	4.71929293175226	9.99077973480077e-16	1.87172090686802e-13
YML091C	1.8665941131438	5.98158455303714	2.43818511521462e-15	4.41555324365367e-13
YHR216W	-2.06357419681306	6.31911387810725	6.16863734436692e-15	1.08110344167566e-12
YPL134C	1.34522332988188	4.8803155724135	1.04179708146901e-14	1.7687761073816e-12
YEL033W	-2.61095051522916	7.02869248292433	4.49051281785196e-14	7.39301701193628e-12
YJL188C	-2.56752481794198	8.64436321799937	5.487770790028e-14	8.76913491241827e-12
YDR009W	1.51005077315312	3.45943740783098	9.01583647407137e-14	1.39951541610371e-11
YPL248C	1.11182849273944	5.31064881466714	9.27823304838058e-14	1.4002400042181e-11
YKL093W	1.56030397607027	4.05970737315586	1.24868472523984e-13	1.83354165195353e-11
YDR157W	-1.97886373318614	3.5598192029308	4.05123825674339e-13	5.79220459181233e-11
YER015W	1.54644459786646	4.34582484746875	4.9228733582348e-12	6.8579412705871e-10
YCL026C-B	1.75029273203519	2.95910028548959	1.01852766570156e-11	1.38341520193915e-09
YGR146C	1.51094469766064	5.4869986809768	1.31169338273728e-11	1.73815369473455e-09
YLR089C	1.17433853701192	7.41103647626169	2.36531630800692e-11	3.05970559557181e-09
YBR092C	-1.43221203989471	8.02111705287607	1.18811864793044e-10	1.501174096327e-08
YLR273C	1.47595622093676	3.51158257388868	2.36763004707161e-10	2.92348501039547e-08
YFR035C	-1.33096123879279	5.00002952526979	4.18905348785417e-10	5.05758391100261e-08
YGL253W	1.38924614148179	9.94421672906907	1.01503827065707e-09	1.19884846184345e-07
YDR524W-C	1.23170748670244	9.60358911465402	1.38920782469085e-09	1.60586513011604e-07
YPR027C	0.9940251987745	4.57910442357148	2.25695584796337e-09	2.55459190041354e-07
YHR032W-A	-1.6924747159445	3.45041030854674	2.61236815411333e-09	2.89652983291791e-07
YPL234C	-1.27996656194079	8.0326452253764	3.18550553596272e-09	3.42946429644364e-07
YPL057C	1.42078504410595	6.30593063027663	3.21926521477315e-09	3.42946429644364e-07
YDR510C-A	-1.5537716581606	4.30425576863463	3.50127342807526e-09	3.65815741052556e-07
YKR076W	1.37931500997868	3.28569100458239	4.60845868633465e-09	4.72410491374644e-07
YLR099W-A	-1.13050310197132	5.59968914510528	4.72982946354166e-09	4.75873397692997e-07
YDR085C	1.13483277218338	4.12763527883858	4.84787198378897e-09	4.78881608871372e-07
YPR149W	-1.38378589938832	6.50863173284764	6.88309275867006e-09	6.67782909961687e-07
YOL136C	1.13906914656581	7.79508077052442	1.40392308925401e-08	1.31561182900301e-06
YGR205W	1.37324778102165	3.07080403357588	1.40448161388137e-08	1.31561182900301e-06
YLR345W	1.00307679727184	4.04358239253535	3.2778440917909e-08	3.01839439842372e-06
YMR206W	1.60133290373733	2.85245815114862	4.93034870464728e-08	4.46443075205811e-06
YLR179C	-0.96339681504244	7.69401796805982	5.54760883230709e-08	4.94100963703679e-06
YHR094C	-1.69011906383054	10.4264683795911	5.83640202040301e-08	5.11438260916928e-06
YDL086W	-1.06454839365867	4.74001185417769	7.00062119229359e-08	6.03720237106843e-06
YEL017C-A	-2.04007379158425	8.49371076342653	7.5333107859725e-08	6.39507460940447e-06
YDR345C	1.60529775644937	11.16254544112	9.37489407494974e-08	7.83596915526184e-06
YKL062W	1.17791775000123	4.84365041828275	1.32883942777961e-07	1.0938764562313e-05
YJL153C	2.15607885874392	8.67345376173987	1.40571043683929e-07	1.13988429900714e-05
YIL067C	0.772749021493374	5.86331750142894	3.55601449239743e-07	2.841150990764e-05
YFL010W-A	-1.10570823200212	5.17735831566032	3.91825414273969e-07	3.08519924021808e-05
YDR133C	0.929543005360809	6.97138738881442	4.23497758179072e-07	3.286947600267e-05
YDL234C	1.12687966063585	5.78510095989036	5.86952981380858e-07	4.49143034907352e-05
YHR041C	-0.856612729572073	6.17487643253739	6.37981054425105e-07	4.81409870651611e-05
YER066W	1.20344122834615	2.32537064770377	8.66625270879793e-07	6.44982889957523e-05
YBR230W-A	-1.50939723437232	3.99514257986673	1.03774649891048e-06	7.61902260619003e-05
YIL122W	0.833606729170157	4.96562282986032	1.07762110229806e-06	7.80628726504715e-05
YFR014C	1.09710033488799	3.97669852709852	1.26754441828223e-06	9.06127476911494e-05
YMR103C	1.00218276180714	3.46867031756895	1.39914514472284e-06	9.87215009257036e-05
YGR161C	1.28859012747994	5.59524761015621	1.70164840903852e-06	0.000118526356491106
YDL094C	-1.94063977007043	3.40761633059508	2.08972078128365e-06	0.000143714594996381
YER146W	-1.73794900679291	4.71638756115274	2.24114157545991e-06	0.000152201527243421
YDR096W	1.72942757615076	3.62444369940894	2.34539574253352e-06	0.000157315247767711
YEL059C-A	-1.11388053071859	3.38727836979899	3.31603089352725e-06	0.00021970726639675
YOR353C	0.643080533551419	6.12626000470766	3.79505403334391e-06	0.00024841600678503
YBR264C	-0.976408683247404	5.24431489792305	3.91347029740982e-06	0.000253117668164614
YNL143C	-1.80014621102157	2.7954794056098	4.13146534079938e-06	0.000264073543488977
YDL130W	-1.34901113632482	11.2917682137764	4.25544532930855e-06	0.000268835284582946
