logFC	logCPM	PValue	FDR
YGL089C	5.40215721649299	6.51804291348955	1.54565252144895e-174	8.42689754693965e-171
YKL178C	5.22737868501141	6.47110382700112	3.90259704282808e-129	1.06384795387494e-125
YJR004C	5.21270985538033	8.08393649237567	2.52319329437134e-110	4.58548328030418e-107
YFL026W	-6.14991708295186	9.36487519212672	4.52466140700813e-99	6.16711349775208e-96
YLR040C	3.86477533307793	5.95357509484717	4.13760875294746e-97	4.51164858421392e-94
YIL015W	-4.32887531594458	7.09137559890804	1.88575116197017e-59	1.71351922251023e-56
YKL209C	-4.20304480986605	8.05462943837506	2.94552019950156e-37	2.29413944681179e-34
YEL033W	-2.28180344005879	6.86044009825428	2.74028272030813e-23	1.86750267388999e-20
YCR013C	-5.13219199302015	7.06815029256108	2.03341075783958e-20	1.23179505019348e-17
YER028C	-1.82047421990625	5.51031545398129	6.68626067171879e-20	3.64534931822108e-17
YNR044W	2.31685020372909	6.81693837226827	2.01853020216877e-16	1.0004569692931e-13
YHR094C	-3.23270859127506	10.4335400279278	2.77328593100201e-16	1.25999624131858e-13
YCL027W	1.56317547215554	5.21704989812342	1.05343385473011e-14	4.4179395199912e-12
YMR317W	2.18060730096663	6.02670059525384	2.78995801165133e-13	1.08648936282308e-10
YDR524W-C	1.3893417914407	9.49562618116393	4.85162669060079e-13	1.7634045811437e-10
YFR032C-A	-2.2832062115237	10.3287933337513	9.47134077198033e-13	3.2273593680523e-10
YJR152W	1.23575664563544	4.80159989089169	1.37856756430627e-12	4.42114727093987e-10
YKL030W	1.72563885418839	2.66246338057777	2.72782491118482e-12	8.26227856432202e-10
YNR068C	2.24663675656997	3.62575395581997	3.59539811534242e-12	1.03169002762352e-09
YPR044C	-3.15156849964042	5.22691721683217	6.2280442244686e-12	1.69776485559014e-09
YLR264W	-1.69445374592456	9.21422868292606	8.82310031813012e-12	2.29064490164026e-09
YFL027C	-1.22979883318775	6.22510253753497	2.95324073778583e-11	7.31866750109471e-09
YJL138C	1.14904694580559	8.14807543269668	8.41947898735737e-11	1.9957825843075e-08
YLR053C	1.50518349371855	2.80171067220517	1.63352353083314e-10	3.71082095420929e-08
YOR045W	-1.36270893061428	5.98038312691944	5.71628569506629e-10	1.24660758438006e-07
YGL090W	1.09904276533855	5.12832038422205	6.13634601532969e-10	1.26267851827312e-07
YDL184C	-3.23468043886334	7.09439778756705	6.25317681463209e-10	1.26267851827312e-07
