logFC	logCPM	PValue	FDR
YLR076C	-4.39848912675855	5.84326038865043	4.76226975898819e-57	2.5816264363475e-53
YDR524W-C	1.81327130297399	9.98113366269245	5.23807272858804e-33	1.41977961308379e-29
YPL142C	2.09303862103613	5.16628602740525	4.1034393385719e-19	7.41491488479943e-16
YAL037C-A	3.11567205393077	5.76511699736808	3.39633501345197e-15	4.60288302698078e-12
YCR013C	-3.30239957689667	6.84036738675354	1.69601938763908e-14	1.83882422007829e-11
YBR191W-A	2.43727367751653	5.67145016658337	5.65729670599812e-13	5.1113675738693e-10
YOR247W	1.27329927325485	7.49272623423783	7.90302292275361e-13	6.12032675203533e-10
YKL030W	1.77089244426101	2.92230243694333	9.94255900203217e-13	6.73732654375205e-10
YNL303W	1.75929261365632	6.41158106403075	1.36616051471748e-12	8.22884016698161e-10
YIL002W-A	-1.15338450496687	5.8917834748916	1.59614401608037e-12	8.65269671117168e-10
YLR342W-A	1.73254206606139	4.4359197601444	3.04507363086062e-11	1.50066765026322e-08
YHR216W	-1.20856335681284	6.00234694302955	2.42844758976499e-10	1.09705119867633e-07
YNL149C	-2.43142588808098	3.45952815691632	4.5753911720943e-10	1.90793811876332e-07
YKL018C-A	-1.33910792840791	5.03047677880319	1.13096594629197e-09	4.37926171060626e-07
YBL113C	1.71167411517617	3.21746009080563	1.83602059773161e-09	6.63537844020204e-07
YER134C	-1.19265877225795	3.73422411592901	2.56686676258736e-09	8.69686544999128e-07
YDR183C-A	1.1273649004683	4.10058198600345	2.9692538878487e-09	9.13659953645734e-07
YHR183W	-1.06686996037785	10.404106177945	3.03373531924428e-09	9.13659953645734e-07
YDL130W	-1.21137792495379	10.9813877231931	5.483721664255e-09	1.56459237589086e-06
YFR032C-A	-1.68338360653924	10.1860605096284	5.82161298720233e-09	1.57794820018119e-06
YJL138C	0.950244366876889	8.21526218109445	6.71127244343003e-09	1.73246704361115e-06
YMR199W	0.963063944390681	5.97307765264865	1.84092583224583e-08	4.34514276968999e-06
YDR322C-A	-1.12618320249417	6.63087416632891	1.84353963665135e-08	4.34514276968999e-06
YCR047C	-0.784445210527113	6.95952073540374	2.32651602289557e-08	5.25501806671538e-06
YDR385W	1.18360023825388	8.56654262597763	2.49699158588894e-08	5.41447655484157e-06
YKL152C	-1.04018669713934	10.4242676408002	4.09715214591316e-08	8.46379361393499e-06
YDR231C	-1.62451480098636	4.04362399313826	4.24898980935685e-08	8.46379361393499e-06
YKR007W	-0.923960060136508	5.2484070583885	4.37163293101235e-08	8.46379361393499e-06
YOR045W	-1.06737383649414	5.87928831643018	7.8557281253008e-08	1.44135075612086e-05
YNL183C	0.726085133240544	5.55317087019096	7.97648453857701e-08	1.44135075612086e-05
YHR211W	1.22013401462758	4.67035104633768	1.18207785107935e-07	2.06711097764554e-05
YER019C-A	-1.01675722643243	8.00381159435283	1.23599263715725e-07	2.06820540468514e-05
YPL189C-A	-1.04591506817536	4.83610393289365	1.25900716389245e-07	2.06820540468514e-05
YGR181W	-0.880979748192105	4.63290167859414	1.71546935098819e-07	2.66427040883817e-05
YLR075W	-1.32119459176464	10.5586952031689	1.72015244990474e-07	2.66427040883817e-05
YJL188C	-1.96536719124285	8.40274702574592	2.7048204868549e-07	4.07300884978901e-05
YMR321C	1.2465614217128	2.53529190786944	2.88033835609044e-07	4.22008492658548e-05
YER032W	0.716797834492322	5.61245557283074	3.45503163767663e-07	4.92887539680132e-05
YJL143W	-0.83879765703915	6.96972116009435	4.07864587826088e-07	5.66931777078262e-05
YMR074C	-0.856996193251481	6.78529074255651	4.22498789066512e-07	5.7259148388239e-05
YDL158C	1.00693818571308	4.30539950126012	4.46676553801097e-07	5.90593560525792e-05
YLR438C-A	-0.816233490997318	6.54669771885245	5.28668662894837e-07	6.69521760209089e-05
YHR163W	-0.863506700067628	8.48624279540231	5.31072416325232e-07	6.69521760209089e-05
YAL039C	-0.901688967148902	5.76846822659524	6.41609916578419e-07	7.90492581311729e-05
YFL010W-A	-0.879095100005021	5.11433556189616	7.66784842042277e-07	9.2214379339828e-05
YIL102C-A	-0.952151441354584	3.44179596918138	7.82486893494205e-07	9.2214379339828e-05
YLR264W	-1.15148362740453	9.12582590952668	8.07285360937915e-07	9.31126370562646e-05
YDR528W	0.849147292107411	5.3936229365937	9.39298983689179e-07	0.000106082078970397
YGL166W	-1.52177440761168	3.51543413999669	1.14057304549548e-06	0.000126184622033285
YDR155C	-1.11926105249928	8.26027313186988	1.16531668741333e-06	0.000126343635249354
YNL282W	-0.738574470318701	5.21026500475775	1.43932460268923e-06	0.000151800451763332
YPR133W-A	-0.9435803264229	5.21294512557871	1.45611944137489e-06	0.000151800451763332
YML027W	1.01545613948506	5.40278745815608	1.85159452330568e-06	0.000183516377213255
YJR151C	1.08906065054236	4.03656953036555	1.85511440025889e-06	0.000183516377213255
YPL277C	1.64457404274218	3.65317598914222	1.86190753490666e-06	0.000183516377213255
YLR285C-A	0.785532886775514	5.38501416239484	1.93058190848695e-06	0.000186887223676924
YBR002C	-0.639877207864902	6.78794106345808	2.01221612308677e-06	0.000191372343916726
YDR303C	0.648473891865412	6.44190480844368	2.33107357144047e-06	0.000217874997082393
YDL067C	-1.09419412178515	6.84836135458586	2.5611754629981e-06	0.000235324274320554
YJL151C	-1.14736159919236	6.44468270823687	2.86453551795794e-06	0.0002588107840475
YML014W	-0.649586174895	6.28213609758443	3.1630542019152e-06	0.000280785240262862
YHL036W	0.825618673844725	4.44636330536498	3.23674578899559e-06	0.000280785240262862
YIL146C	0.864433765457382	4.39231006271295	3.29484369755638e-06	0.000280785240262862
YPL249C-A	0.987097132717423	4.8765400446878	3.35675418386289e-06	0.000280785240262862
YGL032C	-0.853644634400887	5.6463708819027	3.3667294995547e-06	0.000280785240262862
YOR304C-A	-0.953106153168319	3.8474294004127	3.65342013176418e-06	0.000300078644458994
YDR356W	0.867039439658282	6.33514089789955	3.90238248606995e-06	0.000314571954343373
YGR014W	0.827001525408712	7.21458282839718	3.94593117420206e-06	0.000314571954343373
YMR236W	-0.824558287632565	6.51221101420734	4.10842027601823e-06	0.000322778932120215
YML129C	-1.3089242452327	4.18089583515902	4.38943623415062e-06	0.000339930483219008
YER099C	-0.597306989802501	6.3697495092058	4.76999921467532e-06	0.000364199517503591
YNL024C-A	-0.841553383595787	5.73146019931589	4.95577226146633e-06	0.000373128353186235
