logFC	logCPM	PValue	FDR
YGL089C	5.77396035077741	5.96355892609743	2.46736461716328e-160	1.346440871586e-156
YJR004C	5.36240437561657	7.42369787755601	2.34223083021238e-116	6.39077682023447e-113
YKL178C	5.33973777254923	5.68820319397836	8.63415607041894e-96	1.57055298920921e-92
YLR040C	3.85099175983649	5.20108130589775	1.10436752599924e-60	1.50663339734446e-57
YFL026W	-5.89887958674976	9.50307882032348	1.87885567845133e-44	2.05058308746178e-41
YIL015W	-3.61271300492954	7.23773331146897	3.0608318691737e-23	2.78382658501348e-20
YHR094C	-3.8573124131888	10.5442276042667	3.51752262275106e-18	2.74216013605036e-15
YKL209C	-4.33667538762841	8.18754674918353	1.09131327002385e-17	7.44412064315022e-15
YKL163W	2.58802980580091	3.67682904694132	1.39634823469706e-17	8.46652479637983e-15
YNR044W	2.67044253586081	6.57021639441307	3.00336561579838e-16	1.63893661654118e-13
YGL032C	-4.07543935439067	5.72049796967346	6.31616315530337e-16	3.13339112168095e-13
YEL033W	-3.08216656360483	6.95285795833007	2.40955695695674e-15	1.09574602617608e-12
YLR142W	2.50917359604944	3.63488609715272	6.30764404007754e-15	2.64775488666947e-12
YCL027W	1.93023936823214	5.03269237425746	2.23683141653686e-13	8.71884931431548e-11
YML123C	1.53047469860846	5.96646208822754	2.50520978705526e-12	9.11395320530703e-10
YPR145C-A	3.1069467827744	2.8790741179092	6.66964233257712e-12	2.27476488805458e-09
YMR317W	2.46014757591261	5.74299690846876	1.21660249863391e-11	3.90529402061484e-09
YHL016C	2.09173706492953	5.23416045443305	2.2526039247301e-11	6.82914423180676e-09
YPL127C	-2.50684709223625	6.20918069699359	2.69080670801566e-10	7.72828010823235e-08
YBL113C	2.97720340512641	2.95807917641638	4.13981543115773e-10	1.09941647880272e-07
YMR096W	1.47861116126036	10.3472626876787	4.23084956108798e-10	1.09941647880272e-07
YPL088W	1.75572305806054	4.78037734543626	6.52972173390268e-10	1.61966779554122e-07
YPL249C-A	1.85482827158477	4.75866148244107	1.37346836258854e-09	3.25870298028071e-07
YER028C	-2.04305277665931	5.61100111793543	1.95615018843083e-09	4.44779649094461e-07
YKL161C	1.74226814035882	4.19670061196382	5.53172675237936e-09	1.20746531550937e-06
YKR039W	1.61008652753481	7.13419558134443	6.60001873727645e-09	1.34004544922366e-06
YDR077W	1.5573029130495	9.09393676056016	6.63024136504285e-09	1.34004544922366e-06
YNL142W	1.62052336831688	7.27746575839639	1.32188499165643e-08	2.57625942838183e-06
YLR411W	2.32279329376432	3.0011929514175	2.77689861828223e-08	5.02054937423148e-06
YDR224C	-2.24094839557103	9.46283147660302	2.78435741333836e-08	5.02054937423148e-06
YCL055W	1.43199868228376	6.29873448385213	2.85372770360189e-08	5.02054937423148e-06
