logFC	logCPM	PValue	FDR
YLR076C	-4.78436173753626	5.83388159478721	2.48536633675296e-66	1.35452465353036e-62
YHR094C	-2.65807529556283	10.2063881898267	4.54775378236881e-41	1.2392629056955e-37
YPL142C	2.43064695382893	5.37471574648289	3.73653546623625e-36	6.7880394303292e-33
YER028C	-1.90182317617345	5.30788349282792	5.73326513258446e-34	7.81157374314633e-31
YDR524W-C	1.69411061758307	9.88855708442444	2.39466453124774e-29	2.61018433906004e-26
YLR342W-A	1.96757347685108	4.54753316617286	1.44073940314431e-28	1.30867162452274e-25
YAL037C-A	2.75610042872397	5.44979133470346	1.76293088584024e-19	1.37256761826133e-16
YLR307C-A	1.93134515556775	3.33242375697425	9.82127521178591e-17	6.69074373802915e-14
YMR097C	1.36950460746712	6.91736430375805	4.61241945308061e-16	2.79307622436548e-13
YBR191W-A	2.39056657263389	5.61735737866586	9.01759224538383e-16	4.91458777373419e-13
YML100W	1.54255571592959	4.39222201882471	3.84188473290342e-15	1.90347925402942e-12
YMR094W	1.16721992874878	6.04411803574053	4.30018493235512e-15	1.95300065677795e-12
YKL030W	1.69641771788836	2.82061324631558	1.15285964868402e-14	4.83314237332916e-12
YHL016C	1.53343181008369	5.55467996418903	1.02797540915419e-13	4.00176141420739e-11
YNL183C	1.10989572195115	5.73464058395201	3.27384753065655e-13	1.18949793613855e-10
YBL113C	2.14561062758905	3.44831819389766	2.90342414088523e-12	9.88978847989033e-10
YLR285C-A	1.15642179047593	5.56157847918913	3.54053779729942e-12	1.13505476442834e-09
YIL056W	1.0928875681633	6.72029807096861	1.38123793019085e-11	4.18208151085563e-09
YDR040C	2.00726985169017	4.28947328071333	1.47363005761822e-11	4.22699148106279e-09
YNL303W	1.66261820034432	6.33157628751116	2.4024694678392e-11	6.54672929986182e-09
YCR013C	-2.64911495084565	6.87826832677196	2.77873330349683e-11	7.21147452574177e-09
YDR385W	1.29763116610921	8.61845599195767	6.58149947486794e-11	1.63041691536501e-08
YNR068C	1.85224292989481	3.63191908256948	1.05677301252816e-10	2.50409257316456e-08
YLR075W	-1.15834770999548	10.5774561373721	1.30862198951782e-10	2.97166243453005e-08
YGL028C	0.941303803150097	7.889131401007	2.8260700607446e-10	6.16083273242323e-08
YGR041W	0.822896975715271	5.98493778123115	3.71590478618305e-10	7.78910810949908e-08
YKR039W	1.49934788886515	7.56104386482008	1.11177433622988e-09	2.24413708609364e-07
YNL336W	0.950107279320843	3.65814520033282	1.58774134352288e-09	3.09042511507131e-07
YOR208W	1.17735726486606	4.86031292941035	1.84679997364325e-09	3.47071029529507e-07
YPL249C-A	1.07332069511773	4.89809910456552	2.92052723750148e-09	5.30562448146103e-07
YJR151C	1.15942455623867	4.04055948025503	3.18613513370841e-09	5.60143112216479e-07
YER134C	-1.09215776535505	3.76598922179865	5.25622411911665e-09	8.95200670287055e-07
YDL183C	1.10020125426899	5.56299524446856	5.84625756964182e-09	9.65518295592362e-07
YNL311C	0.894008393143776	6.28954092685908	6.02914062181075e-09	9.66435776143193e-07
YDL086W	-0.857123183716919	4.81808890874395	6.94317873550919e-09	1.08115211738643e-06
YPL080C	0.957873522409988	4.69781206141057	7.34933615617088e-09	1.08581956379206e-06
YDL009C	1.32956183933768	3.63137854471135	7.42216346188936e-09	1.08581956379206e-06
YML123C	3.2669185231542	7.73658087918798	7.57085200442172e-09	1.08581956379206e-06
YIL064W	-0.815943060166235	6.6699008867365	7.82651786578718e-09	1.09370570175744e-06
YDR380W	1.00186861294275	4.62522101805697	8.20263062778961e-09	1.11760842303633e-06
YJL138C	0.813364091306572	8.13164501528821	9.00888354883246e-09	1.17873125647511e-06
YLL039C	0.904825138234347	7.04377338220583	9.08628830538604e-09	1.17873125647511e-06
YIR019C	1.26295721965597	3.1896970381335	9.30008147310635e-09	1.17873125647511e-06
YJL151C	-1.14827346883242	6.43600205517935	1.05142892877835e-08	1.3023381049641e-06
YKR102W	1.31996643459953	3.20558326463881	1.14193595983253e-08	1.38301132913051e-06
YOR298W	1.12489714640214	3.23312190705366	1.23837304289304e-08	1.46720284429719e-06
YOR133W	1.25338771383784	8.09105225315653	1.33540004096189e-08	1.54849579217921e-06
YLR264C-A	0.969003703358902	8.89845961376124	1.37903929064612e-08	1.56578419458778e-06
YFL021W	1.21139315867056	5.54528887210504	1.45179239648899e-08	1.61474868589081e-06
YKL043W	1.09494382480634	5.56814159371406	2.1493554495219e-08	2.33511929919294e-06
