logFC	logCPM	PValue	FDR
YDR345C	7.44850349969791	11.7934780210089	3.70504441699309e-62	2.08038244014162e-58
YCR013C	-4.62007275695542	6.62160338192844	9.85410933182625e-20	2.76654119491022e-16
YDR343C	-3.48506748478752	8.17783081833015	4.0869788126861e-17	7.64946201107749e-14
YGL209W	3.15391504522599	6.87545564251865	1.85612897589421e-16	2.60554104991149e-13
YGL157W	1.66826525102707	4.98833199037447	2.47313428706556e-11	2.77732980437463e-08
YEL033W	-2.45246319650401	6.71752053015777	1.26346906179527e-10	1.18239646366341e-07
YOR047C	1.72080075672162	5.20003422979387	3.54172565077928e-10	2.84096993273224e-07
YKR075C	2.79315878953672	7.47137228982067	2.00741396990244e-09	1.40895368012527e-06
YDR510C-A	-1.77626568276222	4.17331558952745	5.12837532422479e-08	3.1995363828358e-05
YHR094C	1.45027132737001	4.71342362049789	8.61463732635434e-08	4.83711885874796e-05
YNL160W	-2.23029252106514	8.61181707294051	4.03325782918848e-06	0.00205879479189939
YNL234W	1.61340163700347	5.06910948014983	1.49021920954623e-05	0.00697298405133505
YJL138C	1.21949387611304	7.99404710059664	5.35984370081687e-05	0.0222185017524042
YDR385W	1.47508837728957	7.94731425275606	5.53978672366266e-05	0.0222185017524042
YOR133W	1.25955489149255	7.50017722994709	6.17339899862829e-05	0.0231090902515319
YMR011W	2.72998882733613	10.2305099061915	7.55782096149337e-05	0.0265232279367408
YDR024W	1.29188220115705	3.00348246204206	8.93735854953014e-05	0.0295195695621245
YHR033W	-1.96406617438629	7.6963462505071	0.000105471031299718	0.0329011022637731
YHR210C	1.22406673905919	2.78298222751718	0.000116776860975404	0.0332108912528075
YDR536W	-3.18426232067483	7.24852314789755	0.000118293468398246	0.0332108912528075
YPL142C	1.50528374823669	3.73514233806152	0.00012707620417398	0.0339777564969951
YPL256C	-1.00967472206734	6.44540877762702	0.00016767007315923	0.0427939754904125
YDR218C	1.18212576157493	2.45575703125121	0.000260877984929728	0.0600658429290842
YNL270C	-1.47862802273631	5.45179076991407	0.000265000098707836	0.0600658429290842
YOL157C	1.03434355151445	2.97742923434116	0.000267434741447392	0.0600658429290842
YMR206W	-2.02085919679081	6.3401952329247	0.000291431239057501	0.0603070855473402
YPL201C	-1.1386114592203	6.25892346490692	0.00029872317875095	0.0603070855473402
YNR034W-A	-1.62201461677714	7.06704157337802	0.000300729901215588	0.0603070855473402
YCR046C	-0.97358786382705	6.88787423741626	0.000344615059006321	0.0667246053903617
YDL048C	-1.13524342672406	7.47461665248085	0.000371753121650541	0.0695797926022596
YER058W	-1.15525607063345	4.93549592795486	0.000384549943631887	0.0696531591449369
YJR094C	1.0206671472092	3.13731144778598	0.000419393591283073	0.0715485290817772
YKR059W	0.998428721937821	7.91790363523463	0.000420686715684941	0.0715485290817772
YKL018C-A	-0.993047767813125	5.54984198152914	0.000433241315900343	0.0715485290817772
YFL030W	-1.42504892182048	9.27389249572575	0.000497657295964513	0.0787511120588296
YNL300W	-1.32526105744482	6.61337373573232	0.000504904725577536	0.0787511120588296
YLR070C	-1.26536856995309	3.98617914254574	0.000540494676356944	0.0813855233349543
