logFC	logCPM	PValue	FDR
YOR134W	1.83424721867734	5.02550641428878	2.09035784591839e-24	6.11047565381942e-21
YNL160W	-2.90106967900041	8.09311735491502	2.19013464294603e-24	6.11047565381942e-21
YBR265W	-1.40485657541885	5.94583454035702	7.41088146692527e-24	1.3784239528481e-20
YJL052W	-2.69926642180623	8.67338055922074	1.58497508126248e-17	2.21104023836116e-14
YIR016W	-2.23345511661168	6.98522886749162	2.13273037035418e-17	2.38012709331526e-14
YBR296C	4.37090525482073	7.94946042548933	1.66396993346412e-16	1.54749203812163e-13
YMR173W	-2.18396907574153	4.60871938133762	2.79072625592809e-16	2.22460750115410e-13
YDR534C	5.22349258266446	8.81973290455377	9.92444085347406e-16	6.92229749529816e-13
YML052W	-1.34764683535581	6.58529505446	2.53883613516192e-15	1.57407840380039e-12
YER150W	-2.16634780034516	5.23674920591083	1.21166860895213e-14	6.76111083795289e-12
YBR012C	1.78286531086351	4.17820859463235	4.69552451265463e-14	2.38191152551026e-11
YGR043C	-1.81692702534576	5.89890517565133	6.01039641177954e-14	2.79483433147749e-11
YML123C	3.55351378149668	9.10302672649754	9.00515268626606e-13	3.86528861456651e-10
YLR342W-A	1.62714359043745	4.79823661845443	1.49900728600017e-12	5.97461475420068e-10
YDR320C-A	-1.39168483544905	5.87291890782717	4.01372828430546e-12	1.49310692176163e-09
YOL151W	-2.11207277879307	4.68112240589865	5.01898130004678e-12	1.75036972839131e-09
YGR254W	-2.6841623721175	9.75470343411094	7.77986201523544e-12	2.55362529676552e-09
YHR033W	-1.81103942413782	7.36442930845242	1.165624938403e-11	3.61343730904929e-09
YFL014W	-4.75173590903868	9.25225819647045	1.49422614298071e-11	4.17863335160361e-09
YDL039C	3.25363751636547	7.26619583446394	1.49771804716975e-11	4.17863335160361e-09
YDR155C	-1.60029503184662	8.7796426316063	4.67341313899098e-11	1.24179263407475e-08
YIL124W	-1.46504390157855	6.60896759054883	6.48571630340089e-11	1.64501349877168e-08
YOL052C-A	-3.51512519760254	7.34491253651703	1.04402455989729e-10	2.53289436705517e-08
YLR231C	-0.994805696985459	6.81480206488926	1.19763617371814e-10	2.78450410389468e-08
YNL274C	-1.76819044971078	7.21892418371878	1.51493527480627e-10	3.3813355333676e-08
YOR343C	1.415838031384	3.79236179564144	2.50754711769176e-10	5.3755817470437e-08
YDR077W	-1.98289841567447	9.83669425639581	2.60108794211792e-10	5.3755817470437e-08
YGR146C	1.68639892627128	7.49399640264285	2.78981091638444e-10	5.55969461193757e-08
YNR072W	1.45874717924495	3.3623024168205	3.07543236914736e-10	5.91755607580769e-08
YBR296C-A	1.8268334718356	3.5282864457436	3.21469476273815e-10	5.97933225869296e-08
YJR094C	1.39232376092194	3.69407500613032	3.72705133764761e-10	6.7086924077657e-08
YNR014W	1.27002385864142	3.35821746762951	5.09342258126968e-10	8.88165562608901e-08
YPL156C	2.02157963621908	8.99138498134653	5.26490693693364e-10	8.90247900245143e-08
YMR272C	-1.27078990233648	6.91661006232666	7.06631403642742e-10	1.15970683303721e-07
YJR073C	-1.82212542179552	9.29153139672045	9.26235399332239e-10	1.47668386522111e-07
YOR356W	-1.72926309500712	7.29252550946651	1.42279787825535e-09	2.20533671129579e-07
YGL032C	-1.53295123991665	6.14469858188625	1.66907926699993e-09	2.51715197563773e-07
YMR251W-A	-2.38119348146843	8.86312153540276	3.04646744560045e-09	4.47349693327645e-07
YER048W-A	1.00247789943218	6.45166198207006	4.24812515589089e-09	6.07808676150542e-07
YDL048C	-1.45322628161018	7.14198570945461	4.63638297629771e-09	6.4677542519353e-07
YBR136W	1.01317604112548	6.2872516441608	5.17106627132635e-09	7.03769507170757e-07
YHR175W-A	1.30741505463443	5.29511787186937	5.45076417443215e-09	7.24172954603128e-07
YDR295C	0.902350673078114	6.61973081116197	6.01493819185614e-09	7.80543142105983e-07
YBR072W	-4.50275533341394	7.83867403762478	6.85403158175937e-09	8.69215823323121e-07
YOR080W	0.933428356088908	6.07567208657986	9.01104806071492e-09	1.11736995952865e-06
YOR176W	-1.45949429411653	6.44492464249147	1.03066894361138e-08	1.25024624029381e-06
YLR024C	0.954306999756002	6.59193119318193	1.06265392538045e-08	1.26161891566444e-06
YGL166W	-1.51686111525606	4.05947253328083	1.18590352458227e-08	1.37861284732688e-06
YEL068C	1.21603509523976	5.87059597704889	1.62865831320243e-08	1.85467620156522e-06
YBL048W	1.09612475200412	5.03558812840024	1.84771043965016e-08	2.06204485064958e-06
YLR309C	1.37261891050316	8.34595886471397	1.96631676066126e-08	2.15138186754703e-06
YLR220W	-1.39152907795263	6.57938158090746	2.23962177829018e-08	2.40328644670369e-06
YJL213W	1.36578653490984	4.31231285127448	3.31019073361252e-08	3.48506873463356e-06
YDL241W	1.5870641002434	3.11530701982482	3.74358287073902e-08	3.86836896643032e-06
YOL086W-A	-0.818478318279772	5.48532166994325	4.00412209584476e-08	4.00005496136952e-06
YHR215W	2.87131831083357	3.93049588825629	4.0143920759264e-08	4.00005496136952e-06
YDL037C	3.07135086004446	5.4704135356558	4.35100896883728e-08	4.25380594301588e-06
YDL022W	-3.42484908500578	6.65771497507493	4.4553287564294e-08	4.25380594301588e-06
YCR013C	-3.02632181884869	6.18745714286291	4.49775180354725e-08	4.25380594301588e-06
YBL113C	1.68086307232229	3.89261113492923	5.41786006160015e-08	5.03860985728814e-06
YBR009C	-1.42010154555814	9.11304890079858	5.69636357015579e-08	5.17003154926276e-06
YNL250W	0.955310822859263	6.29003230956395	5.74447949918085e-08	5.17003154926276e-06
