logFC	logCPM	PValue	FDR
YIL057C	-3.81277299402155	6.74008089537698	1.53656521257292e-26	8.62935023380951e-23
YMR319C	2.59447638788602	5.97694461912004	1.9109712188083e-25	5.3660071824137e-22
YEL070W	2.59844734244196	3.27038720418302	4.47397906406952e-23	8.37528880793814e-20
YMR107W	-2.97733864156298	7.13272283852331	2.04202485814812e-21	2.86700290083996e-18
YLR076C	-4.62414790886679	5.38585699935996	6.3680095696713e-21	7.15254834865481e-18
YEL071W	2.83416072896759	8.9416177099998	1.21402869592677e-17	1.01913182780986e-14
YGR180C	2.14024103227694	9.62038352727444	1.27028539791115e-17	1.01913182780986e-14
YDR343C	-3.40579608851874	8.20628900787208	1.58818890642313e-16	1.11490861230904e-13
YDR345C	3.16878211349228	7.87406006077816	1.88179711348766e-16	1.1742413988163e-13
YDL049C	-2.61380547714333	7.1534994850741	1.0654391127045e-15	5.98350605694849e-13
YPL061W	-3.39765222891067	10.0785486958536	1.50573030732324e-15	7.68743764175209e-13
YGR138C	3.35307609428077	6.31398338395397	4.27739369055283e-15	2.00182024717872e-12
YPL201C	-2.69540916281672	6.13183427464044	5.79606836919589e-15	2.50390153549262e-12
YML087C	-2.27857241710184	6.18549325693499	9.30816813096725e-15	3.73390515882229e-12
YDR501W	1.5359679978838	5.09115369722933	2.44765064149072e-14	9.16400400174126e-12
YBL005W	1.58049679180327	6.45223281933869	5.40271579345169e-14	1.89635324350154e-11
YJL213W	2.07058765434777	4.35221021720937	1.06670121185038e-13	3.5238788269128e-11
YBR230W-A	-2.57945584310771	6.3971523471075	2.05092384730485e-13	6.39888240359112e-11
YGR097W	2.04986701756533	7.28819380024655	3.68894047227355e-13	1.09037314169938e-10
YPL058C	-4.54117221953706	10.8069358792328	8.37973026286654e-13	2.35302825781292e-10
YJL026W	1.76150599292903	8.78515379858104	1.0586113673877e-12	2.8310292567854e-10
YBR016W	-1.90652295215038	6.39582809778548	2.28473867528318e-12	5.83231472745014e-10
YPL095C	1.38811443849421	6.03460209383628	4.49447194063099e-12	1.09743280080799e-09
YER044C-A	2.14457239579944	3.07168565196709	7.88010633748362e-12	1.84394488297117e-09
YNL289W	-2.86130784646672	6.76623605153909	1.24558052841662e-11	2.7980720990351e-09
YIL066C	2.80273691341363	4.49825151526063	2.57361588230123e-11	5.55901030577065e-09
YLR133W	-1.54049068874974	6.2161396017418	3.64104987159456e-11	7.57338373291669e-09
YPL250C	1.52977019517068	5.83000636207547	5.13013380951199e-11	1.02895826693641e-08
YKL071W	1.49313961143986	4.87600080484585	1.51431244873681e-10	2.9325443834848e-08
YNR002C	-4.37753868011427	8.63666813820219	1.99456801109809e-10	3.64864327761085e-08
YOR193W	1.41762946018899	5.52836168259468	2.014030299251e-10	3.64864327761085e-08
YBR012C	2.1642848229929	3.96587742373477	2.09948582255751e-10	3.68459761858842e-08
YMR306W	1.35156649697194	4.81320725118012	2.50565358440251e-10	4.26416682727408e-08
YEL047C	1.47764555332484	6.98971267339699	3.65815731873465e-10	6.04241514765112e-08
YDL039C	3.51534666054993	6.76150719931843	4.29373794675922e-10	6.88960923114279e-08
YER011W	2.12902396199833	2.43784207558384	6.43450197509725e-10	1.00378230811517e-07
YJR095W	-4.73803100816022	8.72550928229051	6.65130073890538e-10	1.00955959323494e-07
YNL052W	-2.26695344195727	9.33740687159495	1.07441690253794e-09	1.58787508543501e-07
YFL030W	-2.58013250447034	9.19270094003808	1.97351806985003e-09	2.83480154808389e-07
YHL043W	1.42473401414493	3.5325027472566	2.06561424490809e-09	2.83480154808389e-07
YIR027C	1.45383874051042	4.68338514732966	2.06956665725498e-09	2.83480154808389e-07
YML002W	1.1402173484385	5.66307166507306	2.54583830916617e-09	3.4041495105422e-07
YGR234W	-2.09815256724843	9.9710667236305	2.9360095230059e-09	3.83456499562817e-07
YLR089C	1.49060738916626	8.17714172834745	4.12613960043112e-09	5.26645454455027e-07
YGR243W	-2.55070274814247	7.59204676949247	5.14945130582928e-09	6.42651522967494e-07
YLR343W	1.37344747382982	5.98302740131197	5.83226209466393e-09	7.12043128774623e-07
YPR052C	-1.67215523574597	5.66211315307624	8.00320652204268e-09	9.56298038889185e-07
YKL217W	-3.26847576378122	11.30627207625	8.81887756299163e-09	1.03180867487002e-06
YAR028W	1.42553415690225	4.56052826084818	1.0167893022e-08	1.16536504513372e-06
YIR029W	-1.84268714289833	6.60794995471127	1.13510011101304e-08	1.27494444468984e-06
YBR180W	1.72659860215767	3.28257622209871	1.34042996272645e-08	1.47604993542583e-06
YFR055W	2.56217294892845	6.23636687508185	1.38637971123086e-08	1.49729008812933e-06
YOL108C	-2.05340458049119	5.3242268379075	1.43162268020981e-08	1.51697980604874e-06
YOL157C	1.49823455770402	3.22505706300028	1.64628850945178e-08	1.71214004982985e-06
YBL095W	-1.48523981627252	4.40354258287674	2.40387458519146e-08	2.45457448553368e-06
YPL189W	1.76374382951009	3.23049387089563	2.53090012185063e-08	2.52493372413753e-06
YNL100W	-2.03355087397233	7.80967977505363	2.56269982684899e-08	2.52493372413753e-06
YJR079W	-1.71718449783582	4.00225556909119	2.96061737490554e-08	2.86669434094302e-06
YGR110W	-1.82351920831593	5.89161224664503	3.04265905844358e-08	2.89619885969816e-06
YNR071C	1.54073552658702	2.77158457477975	3.23879537965675e-08	3.03151247535871e-06
YER096W	1.4641918469997	3.08477847174134	3.31927391476097e-08	3.05590857463895e-06
YOL109W	-2.18079622344614	10.1025935730729	3.84551685940301e-08	3.48329398103344e-06
YOL058W	1.45408159953453	10.2069824342202	4.74702172139222e-08	4.23163079164106e-06
YGL187C	-1.7035749959744	9.30526198503775	5.11472776241267e-08	4.48817361151711e-06
YDL186W	1.72856284188698	2.88756122165665	5.27671078805668e-08	4.55907812088097e-06
YIL111W	1.56073623045067	4.87088241225624	6.31558719568252e-08	5.3739905592353e-06
YMR035W	-1.29927172135199	5.6123359140905	6.78546286641667e-08	5.68121138629201e-06
YDR231C	-1.69684283881054	6.10203238877482	6.87895965576668e-08	5.68121138629201e-06
YDL181W	-1.65696471480917	8.19650459973989	6.98786398714269e-08	5.68751364518744e-06
YDR178W	-2.36342150711492	9.03691239700727	8.85047318597454e-08	7.10060820177615e-06
YLL041C	-2.69692945242835	9.68289179831746	9.9000138401659e-08	7.83077151075657e-06
YDR510C-A	-1.49982630892692	4.23258599979267	1.04462376213863e-07	8.14806534468129e-06
YGR292W	1.50034642959818	3.86147990424911	1.09118270893913e-07	8.3946330046605e-06
YNR072W	1.70426883930833	3.1286858267233	1.34627531168554e-07	1.02171380411162e-05
YDL037C	3.73683018187885	5.32076968542978	1.57083680871066e-07	1.17624260236254e-05
YGL224C	1.05950456176017	5.43599778663651	1.86846829983226e-07	1.38069973313921e-05
YBL061C	1.21344721676082	6.77043634535798	1.95241055078639e-07	1.42399190301511e-05
YDR275W	-1.3022658908736	6.15547044074033	1.98987934377268e-07	1.43271312751633e-05
YDR488C	1.44895574392289	5.37953094853733	2.33877085572991e-07	1.66259963617458e-05
YPR001W	-1.14033834322947	6.03405219565425	2.43429968335527e-07	1.7088783777154e-05
YER026C	-1.83992143650071	8.51906295249949	2.53425411611416e-07	1.74403524626484e-05
YEL033W	-1.87492676976826	6.79179940890009	2.54649021000208e-07	1.74403524626484e-05
YDL227C	-1.94499037579945	6.94192774902527	2.63437251805696e-07	1.78248627245878e-05
YDR225W	-1.74726561730573	10.1884909280929	2.88411033212086e-07	1.92823376490366e-05
YHL020C	-1.93053360967815	7.49900071103961	2.94803381927853e-07	1.94778328577274e-05
YBR265W	-1.08563875252455	6.29001207846713	3.51421451173898e-07	2.29486380208443e-05
YML052W	-1.4339276140285	6.86672688625753	3.70708001968276e-07	2.39298406787798e-05
YDR322C-A	-1.77145349891202	8.9209489977628	3.82044697156226e-07	2.43813979457883e-05
YHR001W-A	-1.68926288439513	8.62413960070754	3.92567296478908e-07	2.47714374946691e-05
YBL059W	-1.37384194801873	5.67982882199764	4.03857687499066e-07	2.52007196999417e-05
YCR013C	-3.24374121379793	6.68303057100412	4.12834703732125e-07	2.54777988588968e-05
YPL189C-A	-1.56144059180557	5.59248693178719	4.37228712538563e-07	2.65356346339071e-05
YKL221W	1.35415344166026	2.82652621585238	4.39425573531581e-07	2.65356346339071e-05
YOR009W	1.24712290668903	3.56132616557672	4.55258299308182e-07	2.71992617969654e-05
YLR174W	-3.86944055166253	9.33425611418	4.76582866300564e-07	2.81735723909892e-05
YLR204W	-1.38340334263195	6.54775784643987	4.88607298696e-07	2.82541401787139e-05
YNL058C	1.40071456587072	4.70743258667014	4.92724266436017e-07	2.82541401787139e-05
YAR033W	1.39853773078919	2.7531797412336	4.93038770924851e-07	2.82541401787139e-05
YFR023W	1.64693033245406	3.3994003338385	5.75194345050879e-07	3.26292064828862e-05
YER045C	1.1736919599868	5.32347162921225	5.85466008866955e-07	3.28797710579682e-05
YKL008C	0.962276402510092	6.06956289223208	6.08092350905919e-07	3.38123429969073e-05
YLR038C	-1.96161922103603	8.7356864562587	6.5880258876365e-07	3.61282195443919e-05
YER058W	-1.51631925252633	4.91274536387172	6.62608015148213e-07	3.61282195443919e-05
YPR006C	-2.40929764615234	7.60102498946725	7.02182165548305e-07	3.79178369396085e-05
YNR020C	-1.11879379415569	5.85631436666363	7.85481967450382e-07	4.20120640876319e-05
YJR010W	1.0068703423532	5.13401138975701	8.2591304234171e-07	4.37578079791608e-05
YKL222C	1.02459681994843	5.17869069210299	9.93123191108585e-07	5.21250452454749e-05
YML120C	-1.97641519817201	9.25664225321479	1.07364799917545e-06	5.58296959571234e-05
YOR237W	1.62573005856136	2.32928499800973	1.14329654309794e-06	5.89059943673215e-05
YOL059W	1.32757155093935	8.22284413515279	1.18171521671481e-06	6.03319332460941e-05
YFR022W	1.12487175086097	5.56054310533971	1.19469529367477e-06	6.03860154160514e-05
YDR497C	-1.96379323295208	10.6905020643734	1.20427950972182e-06	6.03860154160514e-05
YAR031W	1.30285986582109	3.46077716218233	1.2677608080237e-06	6.30065902465583e-05
YHR078W	0.959901420605314	6.50189016294649	1.34081200657112e-06	6.6052633586872e-05
YCL025C	-2.3374963725973	10.0982436404934	1.36560584314574e-06	6.66890644791867e-05
YDL067C	-1.66378749838999	8.57393663405696	1.57906420870251e-06	7.60714083821455e-05
YNL138W-A	-1.83080138733561	4.61245919749161	1.58511605980068e-06	7.60714083821455e-05
YDR286C	-1.55937486944391	4.71851939469768	1.59836648666189e-06	7.60714083821455e-05
YBL113C	2.18777949813376	3.77619882664397	1.61939211588421e-06	7.6424421200048e-05
YMR094W	1.27636953340168	5.79484561614551	1.65425542456074e-06	7.74191538694427e-05
YBL003C	-2.06928733706739	9.07877654151857	1.71615036517974e-06	7.96520698417308e-05
YPL147W	-2.3398562294719	5.88697511192643	1.73273739516639e-06	7.97627312397907e-05
YNL210W	1.43216043868058	3.82377358177017	1.93127424825992e-06	8.81791559205504e-05
YNR066C	1.50079743134543	3.55567801313263	1.9589281355332e-06	8.87204871706005e-05
YMR017W	1.50332014120441	2.68566056950763	2.0637892333527e-06	9.27219226760699e-05
YBL038W	-1.401203915088	7.01767600286093	2.30797551817757e-06	0.000102751537518833
