logFC	logCPM	PValue	FDR
YBR296C	7.11763101259583	10.2488737926282	8.02792457192305e-103	4.40572500507137e-99
YHR215W	5.04574672358373	5.62499237137614	3.2802776033303e-73	9.00108174353835e-70
YML123C	5.47714448248151	10.5669030480916	1.08874405903077e-71	1.99167579865363e-68
YDR345C	6.77137085424129	11.6759405711261	4.90597158087701e-61	6.73099300896326e-58
YPL019C	4.1389582933147	8.8542967562915	1.85915753200495e-47	2.04061130712864e-44
YBR294W	3.36115258844134	7.61736387339954	2.2660950976022e-43	2.07272164927348e-40
YGL187C	-3.69060840026265	8.76252554414218	8.59668642102123e-41	6.24160274209001e-38
YCR013C	-5.22004587158604	6.19336099763292	9.09854627126823e-41	6.24160274209001e-38
YIL015W	-5.02903366972611	6.79472008778549	1.81957509029659e-40	1.10953645506085e-37
YPL250C	3.45584594269043	7.54781964717741	1.98016471154613e-39	1.08671439369651e-36
YFL030W	-4.49185753802557	8.6881649530056	2.05316995793511e-37	1.02434515719526e-34
YBR093C	3.61564373828949	7.05013113754024	1.14225130478995e-34	5.22389596723937e-32
YJL160C	3.20923950143493	4.35187094787481	2.23503503911106e-34	9.43528638049346e-32
YDR298C	-3.23556076160226	9.16661543471554	1.69226026885426e-32	6.63366025390869e-30
YDL181W	-3.73846172032914	7.64602821273814	4.7925199800932e-32	1.7534233100501e-29
YOL077W-A	-3.25179847762977	7.57773005248615	3.62897512431014e-30	1.24473846763838e-27
YPL078C	-2.82743637477255	9.46588256964757	2.19347435011892e-29	7.08105131379567e-27
YDL004W	-2.83337730979925	9.1865140437299	3.95773008702002e-29	1.20666792875366e-26
YMR256C	-3.35952909490097	7.90429552746512	1.09386536488837e-28	3.15954374868809e-26
YJL012C	2.77771084690383	8.73524702494483	1.50215876143672e-27	4.12192364138237e-25
YFL026W	-5.51505152915002	8.28211430034644	2.29765897551596e-27	6.00454878934839e-25
YIR029W	-2.97781159813936	6.13239309496456	2.52941055484998e-27	6.30972960228032e-25
YPR020W	-2.92022549268454	7.54104777565755	3.86316440814012e-27	9.21784620516216e-25
YLR038C	-3.62046651684405	8.22195231142424	6.3681277904809e-27	1.45617855475663e-24
YHR001W-A	-3.25426603767046	8.10906834525036	6.95613807650979e-27	1.52701143055543e-24
YLR395C	-3.36644934252972	7.87414089929028	1.46473265794189e-26	3.09171262568657e-24
YDR377W	-2.87584699606338	8.47844304563991	2.02834096088793e-26	4.12279081235294e-24
YGR292W	2.88573257538956	5.08980458397105	8.18848079317531e-26	1.60494223546236e-23
YBR039W	-2.44011929348575	9.62182664444312	1.36587861258682e-25	2.5848075261643e-23
