logFC	logCPM	PValue	FDR
YDR345C	7.28693903766615	11.5537124120008	4.53421547062041e-45	2.11022388002674e-41
YGL209W	2.97271461998748	6.426343812945	9.9949664203365e-15	2.3258286860123e-11
YOR047C	2.18362916874373	5.16671758925585	6.48722540708209e-10	1.00638490148534e-06
YNL112W	8.4102967144608	16.4273124240887	6.07602803102479e-08	7.06945861409734e-05
YIL139C	4.22742932603788	6.67555079092351	3.08979045723489e-07	0.000204266574678422
YKR075C	2.44520656601971	7.01399533760897	3.16193481118874e-07	0.000204266574678422
YEL017C-A	-2.54870005291722	6.37194005557177	3.37013371363295e-07	0.000204266574678422
YAL037C-A	4.11364513240855	4.14660897682183	3.51124322610094e-07	0.000204266574678422
YGR161C	2.38984810065733	6.7071080488324	4.03650812138963e-07	0.000208732319966082
YFR034C	4.4861766676959	9.9605856558427	5.32960733713178e-07	0.000228158629046781
YER153C	5.04032041382995	7.20564516938897	5.39266205310398e-07	0.000228158629046781
YFL039C	4.44554771154454	13.7517910448876	5.93333216394057e-07	0.000230114399091495
YBR198C	3.97936191718052	9.57895487310638	6.74379817249292e-07	0.000241427974575247
YOR083W	4.46613590572335	6.33461273725798	1.07022301763849e-06	0.000338000036413057
YPR144C	4.40070379694019	9.54026450653498	1.08938559222085e-06	0.000338000036413057
YHR092C	4.58362521365064	10.8719021965584	1.28194691723729e-06	0.000372886309551395
YLR368W	3.6541635909486	7.42266557678992	1.51091666517404e-06	0.000408095839605886
YKL086W	4.97771358440802	4.65209107468184	1.57836809473699e-06	0.000408095839605886
YOR009W	4.05084221727762	3.75502614533213	1.85850655765981e-06	0.000455236290492039
YAR035W	5.40132069583415	10.6388246182871	2.03846636840789e-06	0.000474351123928515
YLR141W	4.19679885144005	6.40258874063639	2.43003404177384e-06	0.000538541830019784
YDR388W	4.17225677393687	10.6428353854444	2.86764909535533e-06	0.000588025297691055
YMR011W	3.22368053374012	10.5155889047144	2.90601242950027e-06	0.000588025297691055
YGL157W	1.57246916131332	4.70406290563094	5.63584776351812e-06	0.00109288481214222
YBR050C	4.62483847005515	7.30293079494963	6.88166823298217e-06	0.00128109135825196
YKL198C	3.91614710459468	8.3066231270865	8.56719987200842e-06	0.00153352877708951
YNL234W	2.16862657936906	4.97864709443597	1.23747973021901e-05	0.00204621442586555
YLL010C	3.04901656189176	8.02829041911965	1.2590481509172e-05	0.00204621442586555
YDR040C	1.54371832870246	4.03147169960901	1.27503692200475e-05	0.00204621442586555
YER018C	3.91479710892721	7.89482732532748	1.33716501460001e-05	0.00207438865931615
YML122C	3.64438563768338	4.50706196241554	1.79616217657363e-05	0.00269656089347538
YNL180C	2.9780028024771	8.47789536199032	1.95813834496166e-05	0.00284786745545361
YLR285C-A	3.05486829824004	6.37196113259603	2.30033404839732e-05	0.0032126972018859
YBL032W	3.2387422928285	8.63132515206925	2.34704995410658e-05	0.0032126972018859
YKL063C	2.31484642825994	5.86469583647795	2.4830870139932e-05	0.00330179627517839
YGR017W	2.68606880778218	7.07161311548697	2.59764269898389e-05	0.00335817475585307
YGR031W	3.23464704078113	7.38279577008635	2.92803495801719e-05	0.00368299316070595
YGL126W	3.39430083644888	8.30110502867397	3.01132725075918e-05	0.00368808342764032
YDL184C	-3.14942849424161	6.59859749018517	3.43221753494936e-05	0.00409577959170624
YFR032C-A	-2.11971810641785	8.99512669199517	3.52945834292475e-05	0.00410652478199295
YDR197W	2.81999514420667	6.47466528876902	4.12378068195417e-05	0.00468099397410115
YIL162W	2.06891782342728	9.10502297236494	4.69707670042789e-05	0.00520480832471224
YFR053C	1.40209377873493	11.4555194750709	5.16665329347983e-05	0.00559200102973376
YER174C	2.79444231273744	6.43176092041452	6.14469330747463e-05	0.00649940969386067
YJR085C	-1.71546533266769	8.13581512598168	6.32436967686801e-05	0.00654080366136527
YMR069W	3.96244484444159	3.27885074305686	6.58086997058698e-05	0.00665812366154604
YGR068C	2.95640318142396	6.1558300681799	7.03600097312331e-05	0.00696713798487572
YOL051W	2.68945111208876	8.45442246262364	7.45599409369917e-05	0.00722920760668248
YDL220C	2.73918926424845	5.61873636798805	8.10785818143702e-05	0.00770081060743018
YDR309C	1.22177628948086	6.8961344444218	0.000103055152521752	0.00959237359672467
YMR276W	2.58679994956683	9.33026022534262	0.000107146502535858	0.0096055298679134
YDR155C	-1.65863566412674	9.04545214699817	0.000107324356066072	0.0096055298679134
YDR207C	2.45971547441695	6.69806443505052	0.000117471825616547	0.0103153561588568
YKL032C	2.4070949071209	8.03078234207253	0.000121678281677147	0.0103787366632504
YIL030C	2.41030910592576	8.02653329250067	0.000123335277324265	0.0103787366632504
YAL021C	3.01569229515671	7.59362267317887	0.000124883810301251	0.0103787366632504
YDR276C	-1.78917087911448	7.94861570332806	0.000130209043833928	0.0104706036502469
YKR098C	1.26082082061573	6.06927246638204	0.000132271198198287	0.0104706036502469
YCL057C-A	-1.64028775507589	8.26696247269154	0.000132738636734974	0.0104706036502469
YDR232W	3.29220675257875	10.0393652053935	0.00014785016431899	0.011468244412343
YDL014W	3.07636379726388	11.2688914639049	0.000150424476980655	0.0114766478011143
YDR504C	3.06344378074591	3.9732552038316	0.000183525041549795	0.0137762184414959
YBR262C	-1.43905364090596	7.07125711432822	0.00019395773365183	0.0143282427367558
YOL109W	-1.7660522823964	10.0695130742735	0.000202841723770067	0.0145706009016721
YOL063C	2.31549733658911	6.88159878272561	0.000203500012593185	0.0145706009016721
YDR425W	2.55021149371399	5.39393436620007	0.000212017636713868	0.0149504557767627
YDR014W	1.28355212557108	4.86146847569407	0.000219563144148538	0.0152402567002983
YPL234C	-1.5333978767514	8.00406102371275	0.000222676720159064	0.0152402567002983
YKL067W	-1.83609860461357	9.00964084122512	0.000226923919536689	0.0152537248591477
YGR043C	-1.89947604007606	6.26528703261284	0.000229428607679489	0.0152537248591477
YMR175W	-3.31002679646229	7.78855782978721	0.00023494737937871	0.0154006352623735
YNL172W	2.44772889166583	6.16584569158363	0.000255284332464531	0.016501295601249
YNL148C	2.87782839059208	5.89460151076439	0.00026353748177949	0.016801416989065
YLR014C	2.92305148569159	5.91705871547561	0.000267706654525422	0.0168365779751529
