logFC	logCPM	PValue	FDR
YLR342W-A	1.52460927070687	4.56082047031572	1.66381934377751e-12	9.27412902221582e-09
YNL303W	1.92145148026465	5.61643446542598	3.71250371260803e-10	1.03467478470386e-06
YEL017C-A	-1.6472565815773	6.22236373650082	1.13584132386857e-09	1.83217333910481e-06
YAL037C-A	2.9827952589463	5.0523712556375	1.3913724930268e-09	1.83217333910481e-06
YBR191W-A	2.94787660177489	4.98976858025928	1.64349958656692e-09	1.83217333910481e-06
YDR510C-A	-1.39481130664191	4.08617815812047	2.36587792472546e-09	2.19790059206996e-06
YDR231C	-1.51424388607231	5.93605104050008	4.15536799295649e-09	3.30886017039135e-06
YCR013C	-2.48892014694515	6.46123736487758	1.26939736155088e-08	8.84452611660578e-06
YDR007W	-1.01757374315938	6.15604888603411	1.86891464443587e-08	1.15748113645395e-05
YIL002W-A	-1.15619226934556	5.65186871020971	3.47965366629496e-08	1.93955895359281e-05
YDR524W-C	1.43478333794951	9.68132972693495	5.88693361453186e-08	2.98306981521823e-05
YOR045W	-1.30853424000269	6.92214788317811	8.47936385297374e-08	3.9386645097063e-05
YLR343W	1.10705573441739	6.03378601290957	1.30151050186004e-07	5.58047656720603e-05
YGL226W	-1.21293121636549	5.21111259380928	1.68898052993691e-07	6.72455533847739e-05
YER147C-A	-1.639508360704	4.23966841329166	1.87416285111719e-07	6.96438915475146e-05
YDR385W	1.49826634984302	8.23199729681287	2.30634620918001e-07	8.03473360623087e-05
YNL149C	-2.4113038033671	3.44114328105612	2.70063996692415e-07	8.85492186802072e-05
YNR032C-A	-1.10989345143677	4.92008795978033	3.69177353546724e-07	0.000114321920481636
YDL228C	1.93700505350667	3.57452255086877	4.91601261883366e-07	0.000144220285986204
YJL188C	-1.86353701134513	6.84310437475513	8.8211778797644e-07	0.000241770537894665
YOL086W-A	-1.23176140728844	5.44661925200309	9.10868549656973e-07	0.000241770537894665
YBR136W	0.885429909972201	6.10364505848695	1.00944160553659e-06	0.000254415349119045
YOR009W	1.04542431018826	3.62393440541958	1.05534294203626e-06	0.000254415349119045
YLR099W-A	-0.883553085312216	5.47128808075292	1.09543745584088e-06	0.000254415349119045
YER134C	-1.47166352342974	4.01087692033568	1.39627661363496e-06	0.000302759361395274
YIL156W-B	-1.13309351212386	6.02659364216571	1.41222522358757e-06	0.000302759361395274
YDR320C-A	-1.31580705268717	6.01314764616163	2.25127761225765e-06	0.000464763755952747
YDR115W	-0.945016895584081	6.20619811792328	2.49697727311965e-06	0.000497076832870319
YDR378C	-1.14582400394486	6.38856140393703	3.97722031895845e-06	0.000739859078008984
YBL034C	0.788353214252767	5.84390655896459	3.9820187191011e-06	0.000739859078008984
YPL142C	1.76403611057369	4.18696532738382	5.66056502702154e-06	0.00101780611163284
YDR031W	-1.27991814454228	5.42509804675082	6.65981089865028e-06	0.0011239222639911
YMR173W	-1.54372773618586	4.8960980864236	6.70381527858245e-06	0.0011239222639911
YBR268W	-0.856871305979583	5.90933009105843	6.855643519142e-06	0.0011239222639911
YKL076C	1.0973296386077	3.00271694580431	7.08009936875691e-06	0.00112755639661289
