logFC	logCPM	PValue	FDR
YDR345C	7.2992203021616	11.6735441514739	7.54459092600921e-60	4.20988173671314e-56
YKL178C	3.65574005207347	6.34377336116473	1.63816315484499e-49	4.57047520201752e-46
YHR094C	2.84883834796945	5.62580159820318	4.44596639888545e-26	8.26949750192693e-23
YLR040C	2.45282766249472	5.64685729980948	3.84714858046606e-22	5.36677226975015e-19
YCR013C	-4.53518199818095	6.64909482989115	7.54889043460629e-22	8.42456172502062e-19
YIL015W	-4.82572640101111	7.24591621943404	5.19444780426467e-20	4.83083645796615e-17
YOR047C	2.09048874124858	5.44539050124374	7.56019792396996e-16	6.02655777367891e-13
YJR004C	2.23588023988874	6.44884051812872	2.00669929994503e-15	1.39967276171166e-12
YEL017C-A	-1.87095487173211	6.40118438417798	4.28413893690602e-13	2.65616614088173e-10
YFL026W	-5.3770662675486	8.73747668379804	1.35223021981236e-12	7.54544462655298e-10
YGL157W	1.84415361153146	5.11543729349581	1.80089081067457e-11	9.13542793051284e-09
YDR115W	-1.85994150896911	6.21777026209903	5.70657726702947e-11	2.6535584291687e-08
YKR075C	2.92290116629433	7.5918865707957	6.81965328584406e-11	2.92720502576999e-08
YBR230W-A	-2.40201812323426	6.40993409811547	7.72529829648686e-11	3.07908317817119e-08
YOR045W	-2.17168126564095	7.00126096499122	1.4134648334058e-10	5.25808918026959e-08
YDL184C	-3.79791784711541	6.56230142646069	1.66775397843397e-10	5.81629199978847e-08
YPL189C-A	-2.28860499644185	5.52429460624255	2.15136298745539e-10	7.06153262941239e-08
YDR510C-A	-1.96131160522164	4.18491361297479	2.36488551745664e-10	7.33114510411559e-08
YGR138C	2.69377140636987	5.81221756450758	2.96113157300973e-10	8.6963758828391e-08
YIL156W-B	-1.89629058569123	6.08176601299474	4.73752591273734e-10	1.32176972965372e-07
YHR210C	1.59839865578055	2.99323135903458	8.7436828104738e-09	2.32332143249732e-06
YER058W	-1.94675218121985	4.86790282969292	1.35767622547906e-08	3.44356060826053e-06
YEL033W	-2.14628596823236	6.76856806431999	1.50298536928439e-08	3.64637320026388e-06
YGL068W	-1.62256510086744	5.48415136714707	2.06922671500062e-08	4.81095211237643e-06
YLR120W-A	1.65486220136428	2.32282383087205	2.45464736653053e-08	5.47877292209615e-06
YOR062C	1.53255827394272	5.32126566033368	2.58941641380426e-08	5.55728599577992e-06
YBR268W	-1.3976054742224	5.94248173549316	3.4660009386901e-08	7.1630686066262e-06
YLL009C	-2.35144112174564	6.2227324983762	5.10312027653618e-08	9.71239974083037e-06
YKL209C	-2.73334017322718	7.73989552369972	5.14941184924682e-08	9.71239974083037e-06
YLR099W-A	-1.35835228916896	5.51588433677835	5.22172029076901e-08	9.71239974083037e-06
YMR107W	-1.80096760766912	7.21889803031085	7.63754852241357e-08	1.37475873403444e-05
YAL046C	-1.60236373648465	5.87966200382361	1.24725799693767e-07	2.1162038552666e-05
YPR044C	-2.67001328940725	4.29715996318695	1.25151840902864e-07	2.1162038552666e-05
YFR032C-A	-2.04990823330909	9.06634495417286	2.39218916547084e-07	3.92600457156685e-05
YGR181W	-1.53202217506153	5.26155743337263	2.98492647153391e-07	4.75022016828615e-05
YDR461C-A	-2.30572891320314	4.96238167767872	3.06465817308784e-07	4.75022016828615e-05
YAL044C	-1.75820815264473	7.89117549917668	3.19810054614813e-07	4.82308136419096e-05
YJL188C	-2.63387921941854	7.01142877548245	3.47365949518037e-07	5.10079473239643e-05
YJR079W	-1.59197815421143	4.0176070176055	3.88798485461926e-07	5.56280909968602e-05
YGL255W	2.56843200896639	6.64993707638266	4.37018799993659e-07	5.95362765431455e-05
YIL057C	-2.14234101100574	6.82526564115012	4.37452928005191e-07	5.95362765431455e-05
YLR390W	-1.43518221553728	5.18140023729143	4.57369909922193e-07	6.07648594610914e-05
YOL086W-A	-1.36400825344906	5.58653936071157	5.10722296515865e-07	6.62751259199658e-05
YGL089C	1.27457256113169	4.17540066232823	6.0483164674185e-07	7.67036497458982e-05
YAL037C-A	2.68409342773493	4.40541093844225	6.25807476470745e-07	7.76001270823724e-05
YDR231C	-1.67138852351559	6.10575610710763	7.5316375638029e-07	9.02424848658096e-05
YGR161C	1.55674081968261	6.56848671840104	7.60106951378683e-07	9.02424848658096e-05
YGR203W	-1.4125331917867	5.01577632385488	2.09947100270823e-06	0.000239368969621386
