logFC	logCPM	PValue	FDR
YPL250C	1.97257191364929	6.38008303096971	7.26367124039359e-20	4.03206390554248e-16
YEL017C-A	-1.44743923656355	6.25232505150384	8.54539247988273e-18	2.37177368279145e-14
YPR001W	1.7125709606038	7.26137362283525	1.43749589109168e-14	2.65984656381664e-11
YGL255W	2.69412292330276	7.13438701450535	4.70244567563353e-14	6.52581898636043e-11
YML131W	1.67635017649492	7.42015782093132	2.09136367489802e-12	2.32183195187179e-09
YGL117W	1.71090807995982	7.89249506656543	3.70660896852514e-12	3.42923106404717e-09
YER147C-A	-1.7908355249029	4.20658785320751	5.0948688443742e-12	4.04023099358874e-09
YCL048W-A	1.97483361823286	3.26945155357693	9.77723166035676e-12	6.78417661833005e-09
YLR342W-A	1.36464106190654	4.42603228605158	4.23565323731205e-11	2.61245679114658e-08
YCR013C	-2.34860177983143	6.46233902279053	7.19087687665618e-11	3.99165575423185e-08
YJR094C	1.68339375752496	3.71070540856454	1.2843075986545e-10	6.41203600698881e-08
YGR043C	1.50465008794333	7.43282881200381	1.38613640936526e-10	6.41203600698881e-08
YIL002W-A	-1.51200097566222	5.55819490126151	1.51006795297498e-10	6.44799015920316e-08
YMR173W-A	1.56405621229734	5.87427047176643	2.04402884915119e-10	7.6699854640402e-08
YER069W	2.18812410590043	9.2677766773216	2.07259560368588e-10	7.6699854640402e-08
YMR174C	1.36713968922995	6.11783711342849	4.00436906279655e-10	1.38926579172398e-07
YOR045W	-1.7294825662473	6.81395882504237	5.18967705032955e-10	1.6945821944929e-07
YIL156W-B	-1.30868208540948	5.96778773092864	5.55638336635297e-10	1.7135268925903e-07
YKL058W	-1.13395247339909	6.56592288638169	1.6100462143057e-09	4.70387712400574e-07
YNR068C	1.526755208011	4.86945256733554	2.04842087347825e-09	5.68539213433888e-07
YOL058W	1.55116368853094	10.4997940397094	2.32360827514071e-09	6.14207120728862e-07
YBL075C	1.58389775954827	6.75398012746321	3.47403893959974e-09	8.7656318880537e-07
YJL151C	-1.37559532863808	7.09926073680214	4.72192604902859e-09	1.13962658687642e-06
YPL277C	1.85473720675214	5.41606054939063	6.0284613299433e-09	1.39433286843814e-06
YBR136W	1.03853506276877	6.17604339072209	6.39595333543698e-09	1.42015747860043e-06
YPR113W	-1.17749765240157	7.19791284974755	7.2230689784003e-09	1.52033826452839e-06
YBL048W	1.38752446445471	5.08758095866296	7.39490778999576e-09	1.52033826452839e-06
YMR175W-A	2.68866824926723	6.49037897408506	7.80173531424311e-09	1.5338901561786e-06
YGR161C	1.35968334293392	6.66974236984488	8.01347766693919e-09	1.5338901561786e-06
YLR267W	1.62077821015637	6.05579083171457	8.42444356750764e-09	1.5588028747745e-06
YDR231C	-1.47997033914884	5.92985244015975	9.94629662066882e-09	1.73428704490468e-06
YCR107W	1.08062568798784	5.03367817658499	9.99769148566921e-09	1.73428704490468e-06
YBR047W	1.23603294417984	5.847073501302	1.41332010490727e-08	2.3773757279819e-06
YDR510C-A	-1.2276187623392	4.10372459124417	1.76337876345723e-08	2.87897515175032e-06
YDR502C	-1.6702777474635	7.93872211460342	1.84039463590373e-08	2.91886589254332e-06
YBL006C	-1.39056276646876	5.64539425829288	3.8875704514172e-08	5.99441765994913e-06
YBL113C	2.04791176346454	3.95964736952079	4.09888106546984e-08	6.07672765467944e-06
YLR099W-A	-1.06836072316163	5.40277956309145	4.15989282791963e-08	6.07672765467944e-06
YJL143W	-1.25355210796285	7.44591146730805	4.41404636178469e-08	6.13538748105106e-06
YHR071W	1.53784966524537	8.88822550979415	4.4211042918761e-08	6.13538748105106e-06
YDR320C-A	-1.31384062702702	5.9968598428268	4.77251934340906e-08	6.46152557933261e-06
YOL119C	1.03093917234857	7.24802658985146	6.91425971745301e-08	9.13834659323373e-06
YGR181W	-1.38686113421383	5.10102662901507	7.10158325415277e-08	9.16764852181443e-06
