logFC	logCPM	PValue	FDR
YDR345C	7.520162766867	11.8468443054785	6.55770720270122e-63	3.64149480965999e-59
YKL178C	3.38177908452407	6.00614671917078	2.62662188598273e-41	7.29281566643105e-38
YHR094C	2.88923137476413	5.52845481202005	1.47058391953017e-29	2.72205083505034e-26
YLR040C	2.27489060384902	5.41285151376048	7.97638870166084e-17	1.10732216150807e-13
YIL015W	-4.00311749097915	7.23249282086359	1.56816671651479e-14	1.74160595536132e-11
YEL033W	-3.45860655942644	6.67482231897447	5.34755989317882e-14	4.949166681137e-11
YFL026W	-5.72991296730372	8.69552234949102	1.90856945354878e-13	1.51404088222234e-10
YKR075C	2.88379645833159	7.49985459018774	1.26595956532158e-10	8.73699804758762e-08
YGR138C	2.77704190393869	5.76102351622196	1.41604506443884e-10	8.73699804758762e-08
YOR047C	1.80852552737644	5.16825351314582	4.77451167829892e-10	2.65128633495939e-07
YJR004C	2.01557431212481	6.23010182955231	8.92949865111676e-10	4.50777327360467e-07
YKL209C	-3.08016073037671	7.69077681666344	5.46923671140474e-09	2.53088928820255e-06
YPL250C	1.8307470933464	5.91595355328123	4.477850270929e-08	1.91273096572836e-05
YOR062C	1.60943304181539	5.26555279952629	9.00049558479655e-08	3.56998228445538e-05
YGL157W	1.58619053965726	4.8584670698714	9.95073019323083e-08	3.68376031753405e-05
YDR040C	1.52116414983733	4.15298863141026	1.45475536360184e-07	5.04891033380064e-05
YDR133C	-1.76572827338338	7.00348201762714	2.30912983620846e-07	7.54270469439151e-05
YGL255W	2.69479191504922	6.66017589012592	7.69452966372897e-07	0.000237376240126039
YBL113C	2.3505729989425	3.64041832526991	1.21387390931354e-06	0.000354770622022005
YIL057C	-1.88119347331575	6.82273461161757	4.22012495139963e-06	0.00117171769275611
YHR092C	4.07620620959808	10.503212875302	5.25268472775148e-06	0.001388959918724
YOR237W	2.03606629083952	2.22058603340898	8.4065338128137e-06	0.00206659173417039
YHR210C	1.74638929146429	2.82989641894909	8.55962720798109e-06	0.00206659173417039
YPL201C	-1.57063173235976	6.20587171762437	1.0165933381283e-05	0.00235214283609435
YMR011W	2.88326880145127	10.3248448201256	1.79463111110441e-05	0.00396318579390597
YGL089C	1.30006795760463	4.06097644653109	1.87254124562942e-05	0.00396318579390597
YKR098C	1.15708908059496	6.14323917693558	1.92699471340647e-05	0.00396318579390597
YDR385W	1.57511929089346	7.97610046488931	2.34758667211815e-05	0.00465576742509718
YOR133W	1.35016088649894	7.51907147056752	2.7438082287366e-05	0.00513217408045039
YBR136W	1.05830767918517	5.97158640597617	2.77264942217741e-05	0.00513217408045039
YDR510C-A	-1.57212351357153	4.24536734946544	6.16734785551644e-05	0.0110475105295751
YLR194C	1.67771296686558	8.41530924382475	6.66063014415466e-05	0.0112963739655797
YER058W	-1.49506492116535	4.91679682143549	6.89904165948543e-05	0.0112963739655797
YAL038W	1.17020797590032	10.6293686863785	6.91656248567819e-05	0.0112963739655797
YNR002C	-2.48178420341164	8.67258342820036	8.00464197503129e-05	0.0126999362535282
YNR072W	1.65925340324562	2.87741523179449	8.88380204606332e-05	0.0135873490247863
YHR211W	1.31546291373584	5.14473870610461	9.05333898644147e-05	0.0135873490247863
YOR134W	1.31571576475971	4.15659157221816	9.82430510769093e-05	0.0143564121744757
YMR174C	1.02285530148655	5.68328553345693	0.000120093140322275	0.0170552899223361
YOL035C	1.57349635565278	2.81177457564511	0.000122854600557076	0.0170552899223361
YOR080W	0.978407025043664	5.77827797663335	0.000126176721157647	0.0170892520143515
YMR303C	-2.22495211879972	7.27757926193813	0.000142515138208224	0.018842537201673
YLR121C	1.18987620900704	7.05212364982114	0.000158486848647794	0.0204669179195628
YGR161C	1.24885080559675	6.34693862515854	0.000197499825743904	0.0249253757353613
YDL198C	-1.19922527664193	7.83260792701709	0.00022419030664793	0.0276650838403546
YMR095C	-1.47056226215926	6.23538954091199	0.000243648518907124	0.0288772432191978
YFL030W	-1.64874740927794	9.23426115933379	0.000244413908032108	0.0288772432191978
YNL042W	1.00273569664568	5.12422579695084	0.000276185256948343	0.0319511819132114
YNL234W	1.38983839280422	4.87714532833874	0.000300737864601786	0.0340815788190555
YJL149W	1.01542862702496	6.356530121217	0.000360774066524837	0.0399078227782838
YGR243W	-1.59519479310381	7.64208312956706	0.000366522413414816	0.0399078227782838
Q0045	1.56144796085494	5.72827476927896	0.000406403960740963	0.0433992537306647
